PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Carmelo Anthony,NY,PF,67,37.0,28.7,10.0,22.2,44.9,2.3,6.2,37.9,6.3,7.6,83.0,6.9,2.6,2.6,0.8,0.5,10,0,24.83
Kevin Durant,OKC,SF,81,38.5,28.1,9.0,17.7,51.0,1.7,4.1,41.6,8.4,9.3,90.5,7.9,4.6,3.5,1.4,1.3,19,3,28.35
Kobe Bryant,LAL,SF,78,38.6,27.3,9.5,20.4,46.3,1.7,5.2,32.4,6.7,8.0,83.9,5.6,6.0,3.7,1.4,0.3,16,2,23.10
LeBron James,MIA,SF,76,37.9,26.8,10.1,17.8,56.5,1.4,3.3,40.6,5.3,7.0,75.3,8.0,7.3,3.0,1.7,0.9,36,4,31.67
James Harden,HOU,SG,78,38.3,25.9,7.5,17.1,43.8,2.3,6.2,36.8,8.6,10.2,85.1,4.9,5.8,3.8,1.8,0.5,9,1,23.00
Russell Westbrook,OKC,PG,82,34.9,23.2,8.2,18.7,43.8,1.2,3.7,32.3,5.6,7.0,80.0,5.2,7.4,3.3,1.8,0.3,23,1,23.98
Stephen Curry,GS,PG,78,38.2,22.9,8.0,17.8,45.1,3.5,7.7,45.3,3.4,3.7,90.0,4.0,6.9,3.1,1.6,0.2,15,0,21.34
Dwyane Wade,MIA,G,69,34.7,21.2,8.2,15.8,52.1,0.2,1.0,25.8,4.5,6.2,72.5,5.0,5.1,2.8,1.9,0.8,4,0,24.04
LaMarcus Aldridge,POR,C,74,37.7,21.1,8.6,17.8,48.4,0.0,0.2,14.3,3.8,4.7,81.0,9.1,2.6,1.9,0.8,1.2,38,0,20.45
Brook Lopez,BKN,C,74,30.4,19.4,7.7,14.8,52.1,0.0,0.0,0.0,4.0,5.3,75.8,6.9,0.9,1.8,0.4,2.1,12,0,24.81
Monta Ellis,MIL,SG,82,37.5,19.2,7.3,17.5,41.6,1.1,4.0,28.7,3.5,4.6,77.3,3.9,6.0,3.1,2.1,0.4,9,0,16.30
Damian Lillard,POR,PG,82,38.6,19.0,6.7,15.7,42.9,2.3,6.1,36.8,3.3,3.9,84.4,3.1,6.5,3.0,0.9,0.2,7,0,16.45
Deron Williams,BKN,PG,78,36.4,18.9,6.3,14.4,44.0,2.2,5.7,37.8,4.1,4.7,85.9,3.0,7.7,2.8,1.0,0.4,21,0,20.38
Paul Pierce,BOS,SF,77,33.4,18.6,6.2,14.2,43.6,1.9,5.0,38.0,4.3,5.5,78.7,6.3,4.8,2.8,1.1,0.4,12,3,19.14
David Lee,GS,PF,79,36.8,18.5,7.6,14.7,51.9,0.0,0.1,0.0,3.2,4.1,79.7,11.2,3.5,2.6,0.8,0.3,56,1,19.23
Rudy Gay,MEM,SF,75,35.8,18.2,6.9,16.7,41.6,1.1,3.5,32.3,3.2,3.9,81.4,6.1,2.7,2.6,1.5,0.7,6,0,15.66
DeMar DeRozan,TOR,SG,82,36.7,18.1,6.7,15.0,44.5,0.4,1.5,28.3,4.3,5.2,83.1,3.9,2.5,1.8,0.9,0.3,0,0,14.81
JR Smith,NY,G,80,33.5,18.1,6.6,15.6,42.2,1.9,5.5,35.6,3.0,3.9,76.2,5.3,2.7,1.7,1.3,0.3,8,0,17.67
Blake Griffin,LAC,PF,80,32.5,18.0,7.2,13.4,53.8,0.1,0.4,17.9,3.5,5.3,66.0,8.3,3.7,2.3,1.2,0.6,28,1,22.44
Al Jefferson,UTAH,C,78,33.1,17.8,7.8,15.8,49.4,0.0,0.2,11.8,2.1,2.8,77.0,9.2,2.1,1.3,1.0,1.1,37,0,20.99
Kemba Walker,CHA,PG,82,34.9,17.7,6.4,15.2,42.3,1.3,4.0,32.2,3.6,4.5,79.8,3.5,5.7,2.4,2.0,0.4,5,0,18.86
