PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Russell Westbrook,OKC,PG,67,34.4,28.1,9.4,22.0,42.6,1.3,4.3,29.9,8.1,9.8,83.5,7.3,8.6,4.4,2.1,0.2,31,11,29.12
James Harden,HOU,SG,81,36.8,27.4,8.0,18.1,44.0,2.6,6.9,37.5,8.8,10.2,86.8,5.7,7.0,4.0,1.9,0.7,21,4,26.76
LeBron James,CLE,SF,69,36.1,25.3,9.0,18.5,48.8,1.7,4.9,35.4,5.4,7.7,71.0,6.0,7.4,3.9,1.6,0.7,22,2,26.01
Anthony Davis,NO,PF,68,36.1,24.4,9.4,17.6,53.5,0.0,0.2,8.3,5.5,6.8,80.5,10.2,2.2,1.4,1.5,2.9,42,0,30.89
DeMarcus Cousins,SAC,C,59,34.1,24.1,8.4,18.1,46.7,0.0,0.1,25.0,7.2,9.2,78.2,12.7,3.6,4.3,1.5,1.7,47,2,25.29
Stephen Curry,GS,PG,80,32.7,23.8,8.2,16.8,48.7,3.6,8.1,44.3,3.9,4.2,91.4,4.3,7.7,3.1,2.0,0.2,23,0,28.06
LaMarcus Aldridge,POR,C,71,35.4,23.4,9.3,19.9,46.6,0.5,1.5,35.2,4.3,5.1,84.5,10.2,1.7,1.7,0.7,1.0,39,0,22.85
Blake Griffin,LAC,PF,67,35.2,21.9,8.6,17.1,50.2,0.1,0.4,40.0,4.6,6.4,72.8,7.6,5.3,2.3,0.9,0.5,18,0,22.86
Kyrie Irving,CLE,PG,75,36.4,21.7,7.7,16.5,46.8,2.1,5.0,41.5,4.2,4.9,86.3,3.2,5.2,2.5,1.5,0.3,6,0,21.57
Klay Thompson,GS,SG,77,31.9,21.7,7.8,16.9,46.3,3.1,7.1,43.9,2.9,3.3,87.9,3.2,2.9,1.9,1.1,0.8,1,0,20.86
Dwyane Wade,MIA,G,62,31.8,21.5,8.2,17.5,47.0,0.5,1.6,28.4,4.6,6.0,76.8,3.5,4.8,3.4,1.2,0.3,3,0,21.44
Rudy Gay,SAC,SF,68,35.4,21.1,7.5,16.4,45.5,1.2,3.2,35.9,5.0,5.8,85.8,5.9,3.7,2.7,1.0,0.6,2,0,19.76
Damian Lillard,POR,PG,82,35.7,21.0,7.2,16.6,43.4,2.4,7.0,34.3,4.2,4.9,86.4,4.6,6.2,2.7,1.2,0.3,6,0,20.79
DeMar DeRozan,TOR,SG,60,35.0,20.1,6.8,16.5,41.3,0.4,1.5,28.4,6.0,7.2,83.2,4.6,3.5,2.3,1.2,0.2,4,0,17.46
Jimmy Butler,CHI,SF,65,38.7,20.0,6.5,14.0,46.2,1.1,3.0,37.8,5.9,7.1,83.4,5.8,3.3,1.4,1.8,0.6,4,0,21.32
Nikola Vucevic,ORL,C,74,34.2,19.3,8.5,16.3,52.3,0.0,0.1,33.3,2.2,2.9,75.2,10.9,2.0,2.0,0.7,0.7,45,0,21.62
Gordon Hayward,UTAH,SF,76,34.4,19.3,6.4,14.3,44.5,1.6,4.3,36.4,4.9,6.1,81.2,4.9,4.1,2.7,1.4,0.4,2,0,20.24
Chris Paul,LAC,PG,82,34.8,19.1,6.9,14.3,48.5,1.7,4.3,39.8,3.5,3.9,90.0,4.6,10.2,2.3,1.9,0.2,40,1,26.04
Monta Ellis,DAL,SG,80,33.7,18.9,7.5,16.9,44.5,1.0,3.6,28.5,2.9,3.8,75.2,2.4,4.1,2.5,1.9,0.3,3,0,16.59
