PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
LeBron James,CLE,SF,75,40.4,30.0,10.6,21.9,48.4,1.5,4.8,31.5,7.3,10.3,71.2,7.9,7.2,3.4,1.8,1.1,31,7,29.15
Kobe Bryant,LAL,SF,82,38.9,28.3,9.5,20.6,45.9,1.8,5.1,36.1,7.6,9.0,84.0,6.3,5.4,3.1,1.8,0.5,20,0,24.09
Allen Iverson,DEN,SG,82,41.8,26.4,8.7,19.0,45.8,1.2,3.4,34.5,7.9,9.7,80.9,3.0,7.1,3.0,2.0,0.1,15,0,21.06
Carmelo Anthony,DEN,PF,77,36.4,25.7,9.5,19.2,49.2,0.8,2.1,35.4,6.0,7.7,78.6,7.4,3.4,3.3,1.3,0.5,22,0,21.29
Amar'e Stoudemire,PHX,C,79,33.9,25.2,9.0,15.3,59.0,0.1,0.4,16.1,7.0,8.7,80.5,9.1,1.5,2.2,0.8,2.1,36,0,27.29
Kevin Martin,SAC,SG,61,36.3,23.7,6.8,15.0,45.6,1.8,4.4,40.2,8.2,9.5,86.9,4.5,2.1,2.1,1.0,0.1,2,0,21.51
Dirk Nowitzki,DAL,F,77,36.0,23.6,8.2,17.1,47.9,1.0,2.9,35.9,6.2,7.1,87.9,8.6,3.5,2.1,0.7,0.9,25,1,24.78
Michael Redd,MIL,SG,72,37.5,22.7,7.6,17.3,44.2,1.8,5.0,36.2,5.6,6.8,82.0,4.3,3.4,2.5,0.9,0.2,2,0,19.09
Richard Jefferson,NJ,F,82,39.0,22.6,7.5,16.2,46.6,0.9,2.6,36.2,6.6,8.3,79.8,4.2,3.1,2.4,0.9,0.3,2,0,17.53
Chris Bosh,TOR,PF,67,36.2,22.3,7.6,15.3,49.4,0.1,0.4,40.0,7.0,8.3,84.4,8.7,2.6,2.3,0.9,1.0,28,0,24.23
Corey Maggette,LAC,SF,70,35.7,22.1,6.5,14.3,45.8,1.1,2.9,38.4,7.9,9.7,81.2,5.6,2.7,2.8,1.0,0.1,6,0,19.14
