PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Allen Iverson,PHI,SG,75,42.3,30.7,10.3,24.2,42.4,1.4,4.5,30.8,8.7,10.5,83.5,4.0,7.9,4.6,2.4,0.1,24,0,23.27
Kobe Bryant,LAL,SF,66,40.7,27.6,8.7,20.1,43.3,2.0,5.9,33.9,8.2,10.1,81.6,5.9,6.0,4.1,1.3,0.8,18,5,23.33
LeBron James,CLE,SF,80,42.4,27.2,9.9,21.1,47.2,1.4,3.9,35.1,6.0,8.0,75.0,7.4,7.2,3.3,2.2,0.7,25,4,25.74
Dirk Nowitzki,DAL,F,78,38.7,26.1,8.5,18.5,45.9,1.2,2.9,39.9,7.9,9.1,86.9,9.7,3.1,2.3,1.2,1.5,37,0,26.14
Amar'e Stoudemire,PHX,C,80,36.1,26.0,9.3,16.7,55.9,0.0,0.2,18.8,7.3,9.9,73.3,8.9,1.6,2.4,1.0,1.6,27,0,26.71
Tracy McGrady,HOU,SG,78,40.8,25.7,9.2,21.3,43.1,1.8,5.6,32.6,5.5,7.1,77.4,6.2,5.7,2.6,1.7,0.7,13,0,22.97
Gilbert Arenas,WSH,PG,80,40.9,25.5,8.2,19.0,43.1,2.6,7.0,36.5,6.5,8.0,81.4,4.7,5.1,3.0,1.7,0.3,2,0,21.31
Vince Carter,NJ/TOR,SG,77,36.7,24.5,9.0,20.0,45.2,1.6,4.1,40.6,4.8,6.0,79.8,5.2,4.2,2.2,1.4,0.6,7,0,22.92
Dwyane Wade,MIA,G,77,38.6,24.1,8.2,17.1,47.8,0.2,0.6,28.9,7.5,9.9,76.2,5.2,6.8,4.2,1.6,1.1,16,1,23.20
Ray Allen,SEA,SG,78,39.3,23.9,8.2,19.2,42.8,2.7,7.1,37.6,4.8,5.5,88.3,4.4,3.7,2.2,1.1,0.1,1,0,20.97
Michael Redd,MIL,SG,75,38.0,23.0,8.3,18.9,44.1,1.4,3.9,35.5,4.9,5.8,85.4,4.2,2.3,1.8,0.8,0.1,1,0,18.37
Shaquille O'Neal,MIA,C,73,34.1,22.9,9.0,15.0,60.1,0.0,0.0,0.0,4.8,10.5,46.1,10.4,2.7,2.8,0.5,2.3,43,0,27.03
Corey Maggette,LAC,SF,66,36.9,22.2,6.4,14.9,43.1,0.8,2.5,30.4,8.5,10.0,85.7,6.0,3.4,3.0,1.1,0.1,10,0,19.95
Kevin Garnett,MIN,PF,82,38.1,22.2,8.3,16.6,50.2,0.1,0.3,24.0,5.4,6.7,81.1,13.5,5.7,2.7,1.5,1.4,69,1,28.29
Stephon Marbury,NY,PG,82,40.0,21.7,7.4,16.0,46.2,1.4,4.0,35.4,5.6,6.7,83.4,3.0,8.1,2.8,1.5,0.1,24,0,21.97
Jason Richardson,GS,SG,72,37.8,21.7,8.5,19.0,44.6,1.7,5.1,33.8,3.0,4.3,69.3,5.9,3.9,2.3,1.5,0.4,9,0,19.00
Paul Pierce,BOS,SF,82,36.1,21.6,6.8,14.9,45.5,1.3,3.6,37.0,6.7,8.1,82.2,6.6,4.2,2.8,1.6,0.5,17,2,21.83
Steve Francis,ORL,PG,78,38.2,21.3,7.2,17.1,42.3,0.5,1.6,29.9,6.4,7.8,82.3,5.8,7.0,4.1,1.4,0.4,21,0,18.96
Carmelo Anthony,DEN,PF,75,34.8,20.8,7.1,16.4,43.1,0.6,2.1,26.6,6.1,7.6,79.6,5.7,2.6,3.0,0.9,0.4,4,0,16.77
Rashard Lewis,SEA,PF,71,38.0,20.5,7.5,16.2,46.2,2.4,6.1,40.0,3.1,4.0,77.7,5.5,1.3,1.7,1.1,0.9,7,0,19.49
Elton Brand,LAC,PF,81,37.0,20.0,7.8,15.4,50.3,0.0,0.0,0.0,4.5,6.0,75.2,9.5,2.6,2.3,0.8,2.1,41,0,22.51
Mike Bibby,SAC,PG,80,38.6,19.6,7.0,15.8,44.3,1.6,4.6,36.0,4.0,5.2,77.5,4.2,6.8,2.5,1.6,0.4,14,1,19.23
Shawn Marion,PHX,SG,81,38.8,19.4,7.6,15.9,47.6,1.4,4.2,33.4,2.8,3.4,83.3,11.3,1.9,1.5,2.0,1.5,53,0,21.71
Antoine Walker,ATL,PF,77,38.4,19.1,7.5,17.9,42.2,1.4,4.4,32.3,2.6,4.8,53.9,9.0,3.4,3.3,1.2,0.8,31,0,15.50
Richard Hamilton,DET,SG,76,38.5,18.7,6.7,15.3,44.0,0.5,1.6,30.5,4.8,5.6,85.8,3.9,4.9,2.9,1.0,0.2,4,0,16.01
Jalen Rose,TOR,SG,81,33.5,18.5,6.5,14.3,45.5,1.3,3.4,39.4,4.1,4.8,85.4,3.4,2.6,2.2,0.8,0.1,1,0,16.62
Yao Ming,HOU,C,80,30.6,18.3,6.7,12.2,55.2,0.0,0.0,0.0,4.9,6.2,78.3,8.4,0.8,2.5,0.4,2.0,24,0,23.25
Jamal Crawford,NY,G,70,38.4,17.7,6.2,15.7,39.8,2.6,7.3,36.1,2.6,3.1,84.3,2.9,4.3,2.1,1.3,0.3,1,0,15.21
Desmond Mason,MIL,SF,80,36.2,17.2,6.0,13.5,44.3,0.0,0.1,12.5,5.3,6.6,80.2,3.9,2.7,2.1,0.7,0.3,3,0,14.81
Joe Johnson,PHX,G,82,39.5,17.1,6.6,14.4,46.1,2.2,4.5,47.8,1.6,2.2,75.0,5.1,3.5,1.8,1.0,0.3,3,0,15.19
Zydrunas Ilgauskas,CLE,C,78,33.5,16.9,5.9,12.6,46.8,0.0,0.1,28.6,5.2,6.4,79.9,8.6,1.3,2.4,0.7,2.1,24,0,19.59
Chris Bosh,TOR,PF,81,37.2,16.8,5.8,12.4,47.1,0.0,0.1,30.0,5.1,6.7,76.0,8.9,1.9,2.3,0.9,1.4,32,0,17.54
Tony Parker,SA,G,80,34.2,16.6,6.7,14.0,48.2,0.5,2.0,27.6,2.6,4.0,65.0,3.7,6.1,2.7,1.2,0.1,7,0,18.03
Chauncey Billups,DET,PG,80,35.8,16.5,5.1,11.4,44.3,2.1,4.8,42.6,4.3,4.8,89.8,3.4,5.8,2.3,1.0,0.1,3,0,19.06
Bobby Simmons,LAC,SF,75,37.3,16.4,6.3,13.6,46.6,0.7,1.5,43.5,3.1,3.6,84.6,5.9,2.7,1.8,1.4,0.2,10,0,16.11
Manu Ginobili,SA,G,74,29.6,16.0,5.0,10.5,47.1,1.3,3.5,37.6,4.8,6.0,80.3,4.4,3.9,2.3,1.6,0.4,1,0,22.35
Ricky Davis,BOS,SG,82,32.9,16.0,5.9,12.7,46.2,0.7,2.2,33.9,3.5,4.3,81.5,3.0,3.0,2.5,1.1,0.3,0,0,15.00
Damon Stoudamire,POR,PG,81,34.1,15.8,5.6,14.4,39.2,2.2,6.0,36.9,2.2,2.5,91.5,3.8,5.7,2.0,1.1,0.0,8,2,16.67
Kirk Hinrich,CHI,SG,77,36.4,15.7,5.8,14.6,39.7,1.9,5.3,35.5,2.2,2.8,79.2,3.9,6.4,2.3,1.6,0.3,9,0,15.30
Steve Nash,PHX,PG,75,34.3,15.5,5.7,11.4,50.2,1.3,2.9,43.1,2.8,3.2,88.7,3.3,11.5,3.3,1.0,0.1,49,1,22.04
Kenyon Martin,DEN,PF,70,32.5,15.5,6.3,13.0,49.0,0.0,0.2,0.0,2.8,4.4,64.6,7.3,2.4,2.1,1.4,1.1,20,0,17.51
Caron Butler,LAL,SF,77,35.7,15.5,5.7,12.9,44.5,0.5,1.6,30.4,3.6,4.1,86.2,5.8,1.9,1.6,1.4,0.3,10,0,15.80
Wally Szczerbiak,MIN,SG,81,31.6,15.5,5.7,11.3,50.6,0.8,2.1,37.3,3.2,3.8,85.5,3.7,2.4,1.6,0.5,0.2,0,0,17.14
Troy Murphy,GS,PF,70,33.9,15.4,5.6,13.5,41.4,0.8,2.1,39.9,3.3,4.6,73.0,10.8,1.4,1.5,0.8,0.5,34,0,16.86
Emeka Okafor,CHA,C,73,35.6,15.1,6.1,13.7,44.7,0.0,0.0,0.0,2.9,4.7,60.9,10.9,0.9,1.7,0.8,1.7,47,0,16.39
Ben Gordon,CHI,SG,82,24.4,15.1,5.3,12.9,41.1,1.6,4.0,40.5,2.8,3.3,86.3,2.6,2.0,2.3,0.6,0.1,0,0,14.92
Quentin Richardson,PHX,SF,79,35.9,14.9,5.2,13.2,38.9,2.9,8.0,35.8,1.7,2.3,73.9,6.1,2.0,1.3,1.2,0.3,8,0,13.63
Tayshaun Prince,DET,SF,82,37.1,14.7,5.7,11.7,48.7,0.6,1.7,34.1,2.7,3.3,80.7,5.3,3.0,1.6,0.7,0.9,3,0,16.22
Rasheed Wallace,DET,PF,79,34.0,14.5,5.9,13.4,44.0,0.9,3.0,31.8,1.7,2.5,69.7,8.2,1.8,1.6,0.8,1.5,24,0,16.41
Drew Gooden,CLE,PF,82,30.8,14.4,5.7,11.5,49.2,0.1,0.3,17.9,3.1,3.8,81.0,9.2,1.6,1.6,0.9,0.9,37,0,19.77
Rafer Alston,TOR,PG,80,34.0,14.2,5.0,12.2,41.4,1.7,4.9,35.7,2.4,3.2,74.0,3.5,6.4,2.1,1.5,0.1,10,0,16.52
Matt Harpring,UTAH,SF,78,33.1,14.0,5.4,11.0,48.9,0.1,0.6,20.9,3.1,4.0,77.8,6.2,1.8,1.7,0.9,0.2,6,0,15.59
Chucky Atkins,LAL,PG,82,35.4,13.6,4.7,11.1,42.6,2.1,5.5,38.7,2.0,2.5,80.3,2.4,4.4,1.8,0.9,0.0,2,0,13.44
Andre Miller,DEN,PG,82,34.8,13.6,5.2,10.9,47.7,0.1,0.5,15.4,3.1,3.7,83.8,4.1,6.9,2.7,1.5,0.1,13,0,16.59
Mike Miller,MEM,SG,76,30.0,13.4,5.1,10.1,50.5,1.8,4.3,43.3,1.4,2.0,72.0,3.9,2.9,1.7,0.7,0.3,0,0,16.76
Mike Dunleavy,GS,SG,79,32.5,13.4,5.2,11.5,45.1,1.4,3.5,38.8,1.7,2.2,77.9,5.5,2.6,1.7,1.0,0.3,4,0,14.54
Primoz Brezec,CHA,C,72,31.6,13.0,5.4,10.5,51.2,0.0,0.0,0.0,2.3,3.1,74.5,7.4,1.2,1.5,0.5,0.8,15,0,16.19
