PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Tracy McGrady,ORL,SG,75,39.4,32.1,11.1,24.2,45.7,2.3,6.0,38.6,7.7,9.7,79.3,6.5,5.5,2.6,1.7,0.8,19,1,31.01
Kobe Bryant,LAL,SF,82,41.5,30.0,10.6,23.5,45.1,1.5,4.0,38.3,7.3,8.7,84.3,6.9,5.9,3.5,2.2,0.8,23,5,27.07
Allen Iverson,PHI,SG,82,42.5,27.6,9.8,23.7,41.4,1.0,3.7,27.7,7.0,9.0,77.4,4.2,5.5,3.5,2.7,0.2,6,0,22.14
Shaquille O'Neal,LAL,C,67,37.8,27.5,10.4,18.1,57.4,0.0,0.0,0.0,6.7,10.8,62.2,11.1,3.1,2.9,0.6,2.4,46,0,29.43
Paul Pierce,BOS,SF,79,39.2,25.9,8.4,20.2,41.6,1.5,4.9,30.2,7.6,9.5,80.2,7.3,4.4,3.6,1.8,0.8,20,1,23.49
Dirk Nowitzki,DAL,F,80,39.0,25.1,8.6,18.6,46.3,1.9,4.9,37.9,6.0,6.9,88.1,9.9,3.0,1.9,1.4,1.0,41,0,25.94
Tim Duncan,SA,C,81,39.3,23.3,8.8,17.2,51.3,0.1,0.3,27.3,5.6,7.8,71.0,12.9,3.9,3.1,0.7,2.9,58,1,26.46
Chris Webber,SAC,C,67,39.1,23.0,9.9,21.4,46.1,0.1,0.3,23.8,3.2,5.3,60.7,10.5,5.4,3.2,1.6,1.3,45,3,21.48
Kevin Garnett,MIN,PF,82,40.5,23.0,9.1,18.1,50.2,0.2,0.9,28.2,4.6,6.1,75.1,13.4,6.0,2.8,1.4,1.6,68,6,26.46
Ray Allen,MIL,SG,76,37.9,22.5,7.9,17.9,43.9,2.6,7.0,37.7,4.2,4.5,91.6,5.0,4.4,2.6,1.4,0.2,3,1,22.19
Allan Houston,NY,SG,82,37.9,22.5,8.0,17.9,44.5,2.2,5.5,39.6,4.4,4.8,91.9,2.8,2.7,2.2,0.7,0.1,0,0,18.84
Stephon Marbury,PHX,PG,81,40.0,22.3,8.3,18.9,43.9,1.1,3.7,30.1,4.6,5.8,80.3,3.2,8.1,3.2,1.3,0.2,23,0,21.03
Antawn Jamison,GS,PF,82,39.3,22.2,8.4,17.9,47.0,0.8,2.5,31.1,4.6,5.8,78.9,7.0,1.9,2.2,0.9,0.5,18,0,19.49
Jalen Rose,CHI,SG,82,40.9,22.1,7.8,19.3,40.6,1.6,4.4,37.0,4.9,5.7,85.4,4.3,4.8,3.5,0.9,0.3,7,1,15.94
Jamal Mashburn,NO,SF,82,40.5,21.6,8.2,19.3,42.2,1.5,3.7,38.9,3.8,4.5,84.8,6.1,5.6,2.8,1.0,0.2,11,2,18.93
Jerry Stackhouse,WSH,SF,70,39.2,21.5,7.0,17.2,40.9,1.0,3.5,29.0,6.5,7.4,87.8,3.7,4.5,2.8,0.9,0.4,5,0,19.81
Shawn Marion,PHX,SG,81,41.6,21.2,8.2,18.1,45.2,1.7,4.5,38.7,3.1,3.6,85.1,9.5,2.4,1.9,2.3,1.2,38,0,21.05
Steve Francis,HOU,PG,81,41.0,21.0,7.0,16.2,43.5,1.0,3.0,35.4,5.9,7.3,80.0,6.2,6.2,3.7,1.7,0.5,12,1,21.12
Glenn Robinson,ATL,SF,69,37.6,20.8,7.8,18.1,43.2,1.3,3.8,34.2,3.9,4.4,87.6,6.6,3.0,3.6,1.3,0.4,9,0,17.57
Jermaine O'Neal,IND,C,77,37.2,20.8,7.9,16.4,48.4,0.1,0.3,33.3,4.8,6.6,73.1,10.3,2.0,2.3,0.9,2.3,43,1,21.16
Ricky Davis,CLE,SG,79,39.6,20.6,7.6,18.6,41.0,0.9,2.6,36.3,4.4,5.9,74.8,4.9,5.5,3.5,1.6,0.5,11,0,16.94
Karl Malone,UTAH,PF,81,36.2,20.6,7.3,15.9,46.2,0.0,0.2,21.4,5.9,7.7,76.3,7.8,4.7,2.6,1.7,0.4,21,0,21.71
Gary Payton,SEA,PG,80,40.1,20.4,8.3,18.3,45.4,0.7,2.3,29.7,3.1,4.4,71.0,4.2,8.3,2.3,1.7,0.3,28,0,21.94
Antoine Walker,BOS,PF,78,41.5,20.1,7.7,19.9,38.8,2.4,7.5,32.3,2.3,3.7,61.5,7.2,4.8,3.3,1.5,0.4,17,2,15.57
Michael Jordan,WSH,G,82,37.0,20.0,8.3,18.6,44.5,0.2,0.7,29.1,3.2,4.0,82.1,6.1,3.8,2.1,1.5,0.5,13,0,20.14
Shareef Abdur-Rahim,ATL,PF,81,38.1,19.9,7.0,14.6,47.8,0.3,0.7,35.0,5.6,6.7,84.1,8.4,3.0,2.6,1.1,0.5,29,0,20.09
Sam Cassell,MIL,PG,78,34.6,19.7,7.0,14.9,47.0,0.8,2.1,36.2,4.9,5.7,86.1,4.4,5.8,2.3,1.1,0.2,6,2,23.08
Richard Hamilton,DET,SG,82,32.2,19.7,7.0,15.7,44.3,0.4,1.5,26.9,5.4,6.4,83.3,3.9,2.5,2.4,0.8,0.2,0,0,19.76
Peja Stojakovic,SAC,SF,72,34.0,19.2,6.9,14.4,48.1,2.2,5.6,38.2,3.2,3.7,87.5,5.5,2.0,1.4,1.0,0.1,6,0,20.04
Pau Gasol,MEM,C,82,36.0,19.0,6.9,13.6,51.0,0.0,0.1,10.0,5.1,6.9,73.6,8.8,2.8,2.6,0.4,1.8,32,0,20.66
Jason Kidd,NJ,PG,80,37.4,18.7,6.4,15.6,41.4,1.6,4.6,34.1,4.2,5.0,84.1,6.3,8.9,3.7,2.2,0.3,31,4,22.62
Juwan Howard,DEN,PF,77,35.5,18.4,7.4,16.4,45.0,0.0,0.1,50.0,3.7,4.6,80.3,7.6,3.0,2.5,1.0,0.4,18,0,17.16
Gilbert Arenas,GS,PG,82,35.0,18.3,6.2,14.4,43.1,1.3,3.8,34.8,4.5,5.7,79.1,4.7,6.3,3.5,1.5,0.2,11,0,19.37
Rashard Lewis,SEA,PF,77,39.5,18.1,6.7,14.9,45.2,1.0,2.8,34.6,3.7,4.5,82.0,6.5,1.7,1.9,1.3,0.5,11,0,16.95
Rasheed Wallace,POR,PF,74,36.3,18.1,7.0,14.8,47.1,1.5,4.1,35.8,2.7,3.7,73.5,7.4,2.1,1.9,0.9,1.0,11,0,18.44
Steve Nash,DAL,PG,82,33.1,17.7,6.3,13.6,46.5,1.4,3.3,41.3,3.8,4.1,90.9,2.9,7.3,2.3,1.0,0.1,19,0,23.51
Matt Harpring,UTAH,SF,78,32.8,17.6,6.7,13.1,51.1,0.8,2.1,41.2,3.4,4.2,79.2,6.6,1.7,2.1,0.9,0.2,12,0,19.05
Cuttino Mobley,HOU,SG,73,41.7,17.5,6.3,14.6,43.4,1.5,4.4,35.2,3.3,3.9,85.8,4.2,2.8,2.3,1.3,0.5,2,0,15.21
Jason Terry,ATL,G,81,38.0,17.2,6.0,14.1,42.8,2.0,5.3,37.1,3.2,3.6,88.7,3.4,7.4,3.1,1.6,0.2,20,1,18.92
Zydrunas Ilgauskas,CLE,C,81,30.0,17.2,6.1,13.9,44.1,0.0,0.1,0.0,4.9,6.3,78.1,7.5,1.6,2.6,0.7,1.9,20,0,19.31
David Wesley,NO,SG,73,37.1,16.7,6.2,14.2,43.3,1.8,4.3,42.4,2.5,3.2,78.1,2.4,3.4,1.8,1.5,0.1,0,0,15.74
Kenyon Martin,NJ,PF,77,34.1,16.7,6.6,14.1,47.0,0.1,0.6,20.9,3.3,5.1,65.3,8.3,2.4,2.5,1.3,0.9,24,0,16.83
Latrell Sprewell,NY,SG,74,38.6,16.4,6.1,15.2,40.3,1.8,4.9,37.2,2.3,2.9,79.4,3.9,4.5,2.3,1.4,0.3,4,1,15.18
Chauncey Billups,DET,PG,74,31.4,16.2,4.9,11.8,42.1,2.0,5.1,39.2,4.3,4.9,87.8,3.7,3.9,1.8,0.9,0.2,3,0,21.10
Keith Van Horn,PHI,PF,74,31.6,15.9,6.2,12.9,48.2,0.9,2.4,36.9,2.6,3.2,80.4,7.1,1.3,2.0,0.9,0.4,14,0,17.15
Jason Richardson,GS,SG,82,32.9,15.6,5.8,14.2,41.0,1.5,4.1,36.8,2.5,3.3,76.4,4.6,3.0,2.2,1.1,0.3,3,0,15.50
Richard Jefferson,NJ,F,80,36.0,15.5,5.7,11.4,50.1,0.1,0.3,25.0,4.1,5.5,74.3,6.4,2.5,2.0,1.0,0.6,11,1,16.44
Tony Parker,SA,G,82,33.8,15.5,5.9,12.7,46.4,1.0,3.0,33.7,2.7,3.5,75.5,2.6,5.3,2.4,0.9,0.0,4,0,17.17
Caron Butler,MIA,SF,78,36.6,15.4,5.5,13.2,41.6,0.4,1.4,31.8,4.0,4.8,82.4,5.1,2.7,2.5,1.8,0.4,3,0,15.46
Bonzi Wells,POR,SG,75,31.9,15.2,5.8,13.2,44.1,0.5,1.7,29.2,3.0,4.2,72.2,5.3,3.3,2.9,1.6,0.2,5,0,16.15
Michael Redd,MIL,SG,82,28.2,15.1,5.5,11.8,46.9,2.2,5.1,43.8,1.8,2.3,80.5,4.5,1.4,0.9,1.2,0.2,6,0,21.33
