PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Wesley Person,CLE,SF,78,35.8,15.1,6.0,12.1,49.5,1.8,4.1,44.4,1.3,1.6,79.8,3.8,2.2,0.9,1.0,0.5,2,0,0.00
Kenyon Martin,NJ,PF,73,34.3,14.9,6.1,13.2,46.3,0.2,0.9,22.4,2.5,3.7,67.8,5.3,2.6,2.4,1.2,1.7,2,0,0.00
Keith Van Horn,NJ,PF,81,30.4,14.8,5.8,13.4,43.3,1.2,3.6,34.5,1.9,2.4,80.0,7.5,2.0,1.8,0.8,0.5,18,0,0.00
Jason Kidd,NJ,PG,82,37.3,14.7,5.4,13.9,39.1,1.4,4.4,32.1,2.5,3.0,81.4,7.3,9.9,3.5,2.1,0.2,44,8,0.00
Juwan Howard,DAL,PF,81,32.5,14.6,5.7,12.4,46.0,0.0,0.0,0.0,3.2,4.2,76.1,7.6,2.1,1.9,0.6,0.6,17,0,0.00
Jeff McInnis,LAC,PG,81,37.4,14.6,5.7,13.8,41.3,0.9,2.9,32.1,2.3,2.7,83.6,2.6,6.2,1.8,0.8,0.1,8,0,0.00
Clifford Robinson,DET,PF,80,35.7,14.6,5.7,13.4,42.5,1.4,3.8,37.8,1.8,2.6,69.4,4.8,2.5,1.9,1.1,1.2,2,0,0.00
Antonio Davis,TOR,PF,77,38.7,14.5,5.3,12.5,42.6,0.0,0.0,0.0,3.8,4.6,81.8,9.6,2.0,2.1,0.7,1.1,33,0,0.00
Shane Battier,MEM,SF,78,39.7,14.4,5.3,12.3,42.9,1.3,3.5,37.3,2.5,3.6,70.0,5.4,2.8,2.0,1.6,1.0,3,0,0.00
Jason Richardson,GS,SG,80,32.9,14.4,5.8,13.6,42.6,1.0,3.1,33.3,1.8,2.6,67.1,4.3,3.0,2.0,1.3,0.4,1,0,0.00
Brent Barry,SEA,SG,81,37.5,14.4,5.0,9.8,50.8,2.0,4.8,42.4,2.4,2.9,84.6,5.4,5.3,2.0,1.8,0.5,8,0,0.00
Kenny Thomas,HOU,PF,72,34.5,14.1,5.5,11.5,47.8,0.0,0.2,0.0,3.1,4.7,66.4,7.2,1.9,2.0,1.2,0.9,10,0,0.00
Elden Campbell,CHA,C,77,28.0,13.9,5.0,10.3,48.4,0.0,0.0,0.0,4.0,5.0,79.7,6.9,1.3,1.8,0.8,1.8,15,0,0.00
Kurt Thomas,NY,PF,82,33.8,13.9,5.6,11.4,49.4,0.0,0.1,16.7,2.6,3.2,81.5,9.1,1.1,1.9,0.9,1.0,31,0,0.00
Mike Bibby,SAC,PG,80,33.2,13.7,5.6,12.3,45.3,0.6,1.7,37.0,1.9,2.4,80.3,2.8,5.0,1.7,1.1,0.2,3,0,0.00
Corliss Williamson,DET,PF,78,21.8,13.6,5.3,10.3,51.0,0.0,0.1,20.0,3.1,3.8,80.5,4.1,1.2,1.8,0.6,0.3,4,0,0.00
Brad Miller,CHI,C,76,29.8,13.6,4.8,9.6,49.9,0.0,0.1,42.9,3.9,5.0,77.5,8.2,2.0,1.5,1.0,0.5,19,0,0.00
Damon Stoudamire,POR,PG,75,37.3,13.5,4.9,12.2,40.2,1.4,3.9,35.3,2.3,2.6,88.8,3.9,6.5,2.0,0.9,0.1,8,0,0.00
Raef LaFrentz,DEN,C,78,31.5,13.5,5.4,11.8,45.8,1.3,3.4,38.8,1.3,1.9,69.5,7.4,1.1,1.2,0.7,2.7,18,0,0.00
Kerry Kittles,NJ,SG,82,31.7,13.4,5.3,11.5,46.6,1.2,3.0,40.5,1.6,2.1,74.4,3.4,2.6,1.3,1.6,0.4,0,0,0.00
John Stockton,UTAH,G,82,31.3,13.4,4.9,9.5,51.7,0.3,1.0,32.1,3.4,3.9,85.7,3.2,8.2,2.5,1.9,0.3,21,0,0.00
Quentin Richardson,LAC,SF,81,26.6,13.3,4.9,11.4,43.2,1.6,4.3,38.1,1.8,2.3,76.5,4.1,1.6,1.3,1.0,0.3,5,0,0.00
Chauncey Billups,MIN,PG,82,28.7,12.5,4.2,10.0,42.3,1.5,3.8,39.4,2.5,2.9,88.5,2.8,5.5,1.7,0.8,0.2,8,1,0.00
Desmond Mason,SEA,SF,75,32.3,12.4,4.8,10.3,46.4,0.2,0.8,27.1,2.7,3.2,84.8,4.7,1.4,1.4,0.9,0.4,0,0,0.00
Darrell Armstrong,ORL,PG,82,33.3,12.4,4.2,10.1,41.9,1.7,4.9,34.9,2.2,2.5,88.8,3.9,5.5,2.1,1.9,0.1,4,0,0.00
Marcus Fizer,CHI,F,76,25.8,12.3,4.9,11.2,43.8,0.1,0.5,17.1,2.5,3.7,66.8,5.6,1.6,1.7,0.6,0.3,8,0,0.00
Larry Hughes,GS,SG,73,28.1,12.3,4.7,11.1,42.3,0.2,1.3,19.4,2.6,3.5,73.7,3.4,4.3,2.3,1.5,0.3,5,0,0.00
David Robinson,SA,C,78,29.5,12.2,4.4,8.6,50.7,0.0,0.0,0.0,3.4,5.1,68.1,8.3,1.2,1.3,1.1,1.8,20,0,0.00
Chucky Atkins,DET,PG,79,28.9,12.1,4.7,10.0,46.6,1.7,4.3,41.1,1.1,1.5,69.2,2.0,3.3,1.6,0.9,0.1,1,0,0.00
Doug Christie,SAC,SG,81,34.5,12.0,4.2,9.1,46.0,1.1,3.2,35.2,2.5,3.0,85.1,4.6,4.2,2.0,2.0,0.3,1,0,0.00
Anfernee Hardaway,PHX,SF,80,30.8,12.0,4.9,11.6,41.8,0.3,1.0,27.7,2.0,2.4,81.0,4.4,4.1,2.4,1.5,0.4,5,1,0.00
Rodney Rogers,PHX,SF,77,24.4,11.9,4.6,9.8,47.1,1.1,3.1,37.4,1.5,1.9,78.5,4.5,1.5,1.4,0.9,0.4,3,0,0.00
Alvin Williams,TOR,PG,82,35.7,11.8,4.9,11.8,41.5,0.8,2.4,32.1,1.3,1.7,73.6,3.4,5.7,1.8,1.6,0.3,2,0,0.00
Matt Harpring,PHI,SF,81,31.4,11.8,4.8,10.3,46.1,0.3,0.9,30.4,2.0,2.7,74.3,7.1,1.3,1.6,0.9,0.1,15,0,0.00
Tim Thomas,MIL,PF,74,26.9,11.7,4.3,10.2,42.0,1.3,3.9,32.6,1.9,2.4,79.3,4.1,1.4,1.7,0.9,0.4,0,0,0.00
Troy Hudson,ORL,PG,81,22.9,11.7,4.4,10.1,43.4,0.8,2.3,35.3,2.2,2.5,87.6,1.8,3.1,2.0,0.7,0.1,0,0,0.00
Ricky Davis,CLE,SG,82,23.8,11.7,4.6,9.5,48.1,0.1,0.4,31.4,2.4,3.0,79.0,3.0,2.2,1.8,0.8,0.3,0,0,0.00
Steve Smith,SA,SG,77,28.7,11.6,4.0,8.9,45.5,1.5,3.2,47.2,2.1,2.4,87.8,2.5,2.0,1.4,0.7,0.2,0,0,0.00
Dikembe Mutombo,PHI,C,80,36.3,11.5,4.0,8.0,50.1,0.0,0.0,0.0,3.5,4.6,76.4,10.8,1.0,2.0,0.4,2.4,33,1,0.00
Voshon Lenard,DEN,SG,71,23.5,11.5,4.4,10.8,41.0,1.3,3.4,37.1,1.3,1.7,78.3,2.6,1.8,1.3,0.8,0.4,0,0,0.00
Keon Clark,TOR,PF,81,27.0,11.3,4.7,9.6,49.0,0.0,0.1,0.0,1.9,2.8,67.4,7.4,1.1,1.7,0.7,1.5,18,0,0.00
Derek Fisher,LAL,PG,70,28.2,11.2,3.9,9.5,41.1,2.1,5.0,41.3,1.3,1.6,84.7,2.1,2.6,0.9,0.9,0.1,0,0,0.00
Danny Fortson,GS,C,77,28.8,11.2,4.0,9.4,42.8,0.0,0.1,25.0,3.2,4.0,79.5,11.7,1.6,2.1,0.6,0.2,29,0,0.00
Ruben Patterson,POR,PF,75,23.5,11.2,4.3,8.3,51.5,0.1,0.5,25.0,2.6,3.7,70.1,4.0,1.4,1.5,1.1,0.5,2,0,0.00
Vlade Divac,SAC,C,80,30.3,11.1,4.2,9.0,47.2,0.0,0.2,23.1,2.6,4.3,61.5,8.4,3.7,2.0,1.0,1.2,24,1,0.00
Michael Olowokandi,LAC,C,80,32.1,11.1,4.8,11.1,43.3,0.0,0.0,0.0,1.5,2.4,62.2,8.9,1.1,2.2,0.7,1.8,24,0,0.00
Bobby Jackson,SAC,PG,81,21.6,11.1,4.1,9.3,44.3,1.0,2.7,36.1,1.8,2.3,81.0,3.1,2.0,1.1,0.9,0.1,0,0,0.00
Pat Garrity,ORL,PF,80,30.1,11.1,4.1,9.6,42.6,2.1,5.0,42.7,0.8,0.9,83.6,4.2,1.2,0.9,0.8,0.4,1,0,0.00
Derek Anderson,POR,SG,70,26.6,10.8,3.5,8.7,40.4,1.2,3.3,37.3,2.5,3.0,85.6,2.7,3.1,1.2,1.0,0.1,1,0,0.00
Lee Nailon,CHA,SF,79,24.2,10.8,4.7,9.7,48.3,0.0,0.0,50.0,1.4,1.9,74.7,3.7,1.2,1.2,0.7,0.2,1,0,0.00
Andrei Kirilenko,UTAH,SF,82,26.2,10.7,3.5,7.7,45.0,0.3,1.2,25.0,3.5,4.5,76.8,4.9,1.1,1.3,1.4,1.9,3,0,0.00
James Posey,DEN,SF,73,30.7,10.7,3.8,10.1,37.6,0.9,3.2,28.3,2.2,2.8,79.3,5.9,2.5,1.7,1.6,0.5,7,0,0.00
Joe Smith,MIN,PF,72,26.7,10.7,4.1,8.1,51.1,0.0,0.0,66.7,2.4,2.9,83.0,6.3,1.1,1.2,0.5,0.8,7,0,0.00
Rod Strickland,MIA,PG,76,30.2,10.4,4.2,9.4,44.3,0.1,0.3,30.8,2.0,2.6,76.6,3.1,6.1,2.1,1.1,0.1,4,0,0.00
Chris Whitney,WSH,PG,82,26.5,10.2,3.3,8.0,41.8,1.6,3.9,40.6,1.9,2.1,88.0,1.9,3.8,1.0,0.9,0.1,1,0,0.00
Hedo Turkoglu,SAC,SF,80,24.6,10.1,3.6,8.6,42.2,0.8,2.1,36.8,2.1,2.9,72.6,4.5,2.0,1.0,0.7,0.4,2,0,0.00
Bob Sura,GS,PG,78,22.8,10.0,3.2,7.6,42.4,0.5,1.7,31.6,3.0,4.2,72.0,3.3,3.5,1.7,1.1,0.2,1,0,0.00
Nazr Mohammed,ATL,C,82,26.4,9.7,4.0,8.7,46.1,0.0,0.0,0.0,1.7,2.7,61.7,7.9,0.4,1.4,0.8,0.7,21,0,0.00
Kenny Anderson,BOS,PG,76,32.0,9.6,4.1,9.4,43.6,0.1,0.4,27.3,1.3,1.7,74.2,3.6,5.3,1.6,1.9,0.1,2,0,0.00
Anthony Mason,MIL,F,82,38.3,9.6,3.9,7.6,50.5,0.0,0.0,100.0,1.9,2.7,69.7,7.9,4.2,1.6,0.7,0.3,10,0,0.00
Dale Davis,POR,PF,78,31.4,9.5,3.8,7.4,51.0,0.0,0.0,0.0,1.9,2.7,70.8,8.8,1.2,0.8,0.8,1.1,23,0,0.00
Darius Miles,LAC,SF,82,27.2,9.5,3.8,7.8,48.1,0.0,0.2,15.8,1.9,3.1,62.0,5.5,2.2,2.0,0.9,1.3,4,0,0.00
Malik Rose,SA,PF,82,21.0,9.4,3.6,7.7,46.3,0.0,0.1,8.3,2.3,3.1,72.0,6.0,0.7,1.7,0.9,0.5,5,0,0.00
Richard Jefferson,NJ,F,79,24.3,9.4,3.4,7.5,45.7,0.2,0.7,23.2,2.4,3.4,71.3,3.7,1.8,1.4,0.8,0.6,0,0,0.00
Jamaal Tinsley,IND,PG,80,30.5,9.4,3.6,9.5,38.0,0.5,2.2,24.0,1.6,2.3,70.4,3.7,8.1,3.4,1.7,0.5,17,2,0.00
Brian Grant,MIA,PF,72,31.3,9.3,4.0,8.5,46.9,0.0,0.0,0.0,1.4,1.7,84.9,8.0,1.9,1.7,0.7,0.4,17,0,0.00
Antonio Daniels,SA,PG,82,26.5,9.2,3.3,7.5,44.0,0.7,2.4,29.1,1.9,2.6,75.2,2.1,2.8,0.9,0.6,0.1,0,0,0.00
Tony Parker,SA,G,77,29.4,9.2,3.5,8.3,41.9,0.8,2.5,32.3,1.4,2.1,67.5,2.6,4.3,2.0,1.2,0.1,2,0,0.00
Lucious Harris,NJ,SG,74,21.0,9.1,3.4,7.3,46.4,0.6,1.6,37.3,1.8,2.1,84.2,2.8,1.6,0.8,0.7,0.1,0,0,0.00
Jon Barry,DET,SG,82,24.2,9.0,3.1,6.4,48.9,1.5,3.1,46.9,1.3,1.4,93.1,2.9,3.3,1.4,1.1,0.2,1,0,0.00
