PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Dwyane Wade,MIA,G,79,38.6,30.2,10.8,22.0,49.1,1.1,3.5,31.7,7.5,9.8,76.5,5.0,7.5,3.4,2.2,1.3,20,0,30.46
LeBron James,CLE,SF,81,37.7,28.4,9.7,19.9,48.9,1.6,4.7,34.4,7.3,9.4,78.0,7.6,7.2,3.0,1.7,1.1,29,7,31.76
Kobe Bryant,LAL,SF,82,36.1,26.8,9.8,20.9,46.7,1.4,4.1,35.1,5.9,6.9,85.6,5.2,4.9,2.6,1.5,0.5,8,2,24.46
Dirk Nowitzki,DAL,F,81,37.7,25.9,9.6,20.0,47.9,0.8,2.1,35.9,6.0,6.7,89.0,8.4,2.4,1.9,0.8,0.8,26,0,23.20
Danny Granger,IND,SF,67,36.2,25.8,8.5,19.1,44.7,2.7,6.7,40.4,6.0,6.9,87.8,5.1,2.7,2.5,1.0,1.4,6,0,21.88
Kevin Durant,OKC,SF,74,39.0,25.3,8.9,18.8,47.6,1.3,3.1,42.2,6.1,7.1,86.3,6.5,2.8,3.0,1.3,0.7,15,0,20.85
Chris Paul,NO,PG,78,38.5,22.8,8.1,16.1,50.3,0.8,2.3,36.4,5.8,6.7,86.8,5.5,11.0,3.0,2.8,0.1,50,6,30.04
Carmelo Anthony,DEN,PF,66,34.5,22.8,8.1,18.3,44.3,1.0,2.6,37.1,5.6,7.1,79.3,6.8,3.4,3.0,1.1,0.4,12,0,19.09
Chris Bosh,TOR,PF,77,38.0,22.7,8.0,16.4,48.7,0.2,0.6,24.5,6.5,8.0,81.7,10.0,2.5,2.3,0.9,1.0,43,0,22.19
Brandon Roy,POR,SG,78,37.2,22.6,8.1,16.9,48.0,1.1,2.8,37.7,5.3,6.5,82.4,4.7,5.1,1.9,1.1,0.3,3,0,24.08
Antawn Jamison,WSH,PF,81,38.2,22.2,8.3,17.8,46.8,1.4,3.9,35.1,4.2,5.6,75.4,8.9,1.9,1.5,1.2,0.3,38,0,20.63
Tony Parker,SA,G,72,34.1,22.0,8.9,17.5,50.6,0.3,0.9,29.2,3.9,5.0,78.2,3.1,6.9,2.6,0.9,0.1,15,0,23.47
Joe Johnson,ATL,G,79,39.5,21.4,7.8,18.0,43.7,1.9,5.2,36.0,3.8,4.6,82.6,4.4,5.8,2.5,1.1,0.2,4,1,18.26
