"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[98]",0.398015050898204,0.3980745,0.397533872595526,1002,0.95,0.351759,0.452266,NA,NA,NA,NA,NA,NA,NA
"theta[99]",0.378980381237525,0.3785855,0.375721059577466,778,0.95,0.340664,0.423314,NA,NA,NA,NA,NA,NA,NA
"theta[100]",0.352869320359281,0.3532215,0.354345864787983,1002,0.95,0.307465,0.40094,NA,NA,NA,NA,NA,NA,NA
"theta[101]",0.38945222255489,0.3890645,0.387890089881981,1002,0.95,0.344482,0.437281,NA,NA,NA,NA,NA,NA,NA
"theta[102]",0.399285593812375,0.399209,0.399356403034415,1002,0.95,0.357195,0.437614,NA,NA,NA,NA,NA,NA,NA
"theta[103]",0.156091221843313,0.1235,0.0490707490675242,1002,0.95,0.000329204,0.409013,NA,NA,NA,NA,NA,NA,NA
"theta[104]",0.379684364271457,0.3798365,0.37684815538856,1002,0.95,0.330021,0.423599,NA,NA,NA,NA,NA,NA,NA
"theta[105]",0.0762268826546906,0.0598399,0.0293672024572305,1096.7,0.95,0.000186413,0.214007,NA,NA,NA,NA,NA,NA,NA
"theta[106]",0.158312609530938,0.1250935,0.0603959323030444,631.1,0.95,0.00156959,0.421511,NA,NA,NA,NA,NA,NA,NA
"theta[107]",0.14996241455988,0.109184,0.0575563755432253,1002,0.95,0.000229383,0.40825,NA,NA,NA,NA,NA,NA,NA
"theta[108]",0.320957947854291,0.3193145,0.312764127339793,1002,0.95,0.106969,0.513087,NA,NA,NA,NA,NA,NA,NA
"theta[109]",0.317729812175649,0.3198365,0.326833158975056,1002,0.95,0.110759,0.518143,NA,NA,NA,NA,NA,NA,NA
"theta[110]",0.333325487025948,0.3338575,0.336460775541449,1002,0.95,0.284016,0.375641,NA,NA,NA,NA,NA,NA,NA
"theta[111]",0.394370295409182,0.393986,0.391805357144486,1002,0.95,0.345592,0.437417,NA,NA,NA,NA,NA,NA,NA
"theta[112]",0.372855597804391,0.372462,0.374090643250762,1002,0.95,0.326941,0.417195,NA,NA,NA,NA,NA,NA,NA
"theta[113]",0.361281288423154,0.3608285,0.356622986889509,1002,0.95,0.31841,0.407744,NA,NA,NA,NA,NA,NA,NA
"theta[114]",0.383015042018962,0.3363125,0.321809798383273,145.6,0.95,0.000396543,0.894355,NA,NA,NA,NA,NA,NA,NA
"theta[115]",0.354478280439122,0.354921,0.355342803411205,1002,0.95,0.305689,0.412681,NA,NA,NA,NA,NA,NA,NA
"theta[116]",0.158663096998603,0.121493,0.0480736072446435,1002,0.95,3.18456e-05,0.446325,NA,NA,NA,NA,NA,NA,NA
"theta[117]",0.406049643712575,0.405908,0.409350090764047,1002,0.95,0.358052,0.456345,NA,NA,NA,NA,NA,NA,NA
"theta[118]",0.319747733532934,0.3203735,0.322163414350933,747.6,0.95,0.277435,0.367686,NA,NA,NA,NA,NA,NA,NA
"theta[119]",0.340850568862275,0.340482,0.34117522753156,1002,0.95,0.279273,0.401321,NA,NA,NA,NA,NA,NA,NA
"theta[120]",0.139853348602794,0.1227065,0.0500628372408531,121.4,0.95,0.000173335,0.31959,NA,NA,NA,NA,NA,NA,NA
"theta[121]",0.352110644710579,0.352299,0.353955059757738,1002,0.95,0.300696,0.405091,NA,NA,NA,NA,NA,NA,NA
"theta[122]",0.368881824351297,0.368246,0.367656519090811,1227.9,0.95,0.301579,0.43339,NA,NA,NA,NA,NA,NA,NA
"theta[123]",0.327312176646707,0.3276665,0.325294954443667,1002,0.95,0.264055,0.388528,NA,NA,NA,NA,NA,NA,NA
"theta[124]",0.31781181746507,0.3231365,0.336332113359097,1002,0.95,0.12729,0.521011,NA,NA,NA,NA,NA,NA,NA
"theta[125]",0.363617115768463,0.363075,0.367079875532501,1122.7,0.95,0.316422,0.416825,NA,NA,NA,NA,NA,NA,NA
"theta[126]",0.355229865269461,0.355729,0.358565119940894,1002,0.95,0.310692,0.410761,NA,NA,NA,NA,NA,NA,NA
"theta[127]",0.411551119760479,0.41053,0.410823821686313,802.4,0.95,0.366647,0.45436,NA,NA,NA,NA,NA,NA,NA
"theta[128]",0.368958011976048,0.3685585,0.370859645711219,1002,0.95,0.312626,0.422794,NA,NA,NA,NA,NA,NA,NA
"theta[129]",0.344815198602794,0.3442535,0.345330661173527,1163.4,0.95,0.308168,0.391185,NA,NA,NA,NA,NA,NA,NA
"theta[130]",0.360238675648703,0.35956,0.355754419513378,1002,0.95,0.313795,0.411776,NA,NA,NA,NA,NA,NA,NA
"theta[131]",0.25039246241517,0.2644145,0.291595003187462,1005.6,0.95,0.0657954,0.410062,NA,NA,NA,NA,NA,NA,NA
"theta[132]",0.37542872255489,0.374656,0.373930859667989,1002,0.95,0.333051,0.423422,NA,NA,NA,NA,NA,NA,NA
"theta[133]",0.158074309695609,0.12489,0.054827137175871,1002,0.95,0.00047324,0.430388,NA,NA,NA,NA,NA,NA,NA
"theta[134]",0.405800392215569,0.4049575,0.405603622368417,1002,0.95,0.364046,0.455692,NA,NA,NA,NA,NA,NA,NA
"theta[135]",0.399852648702595,0.399603,0.399131659526891,1002,0.95,0.349,0.451197,NA,NA,NA,NA,NA,NA,NA
"theta[136]",0.144635356191617,0.107507,0.0464460217006478,1409.4,0.95,0.000331323,0.397522,NA,NA,NA,NA,NA,NA,NA
"theta[137]",0.148382331555888,0.115549,0.0543015552966825,1002,0.95,0.000369895,0.39247,NA,NA,NA,NA,NA,NA,NA
"theta[138]",0.364036420159681,0.3639,0.362777188519614,1002,0.95,0.307977,0.416854,NA,NA,NA,NA,NA,NA,NA
"theta[139]",0.352448781437126,0.3523225,0.351078945590381,935.5,0.95,0.315824,0.389049,NA,NA,NA,NA,NA,NA,NA
"theta[140]",0.311604382874252,0.313336,0.312100179975847,1371.5,0.95,0.108697,0.493163,NA,NA,NA,NA,NA,NA,NA
