"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[112]",0.362667527013514,0.3618075,0.356269894046939,70590.3,0.95,0.311036,0.417171,NA,NA,NA,NA,NA,NA,NA
"theta[113]",0.364156062983915,0.3640735,0.365203168021374,70002,0.95,0.32039,0.408576,NA,NA,NA,NA,NA,NA,NA
"theta[114]",0.35067480446273,0.35059,0.349401827486554,71572,0.95,0.31117,0.389818,NA,NA,NA,NA,NA,NA,NA
"theta[115]",0.380219158109768,0.379894,0.381284576452114,69168,0.95,0.315185,0.445638,NA,NA,NA,NA,NA,NA,NA
"theta[116]",0.305369355163367,0.2914415,0.26761635346326,22800.9,0.95,0.0394763,0.585672,NA,NA,NA,NA,NA,NA,NA
"theta[117]",0.380552609711151,0.3803525,0.381449030032266,70002,0.95,0.338754,0.422174,NA,NA,NA,NA,NA,NA,NA
"theta[118]",0.194044318028056,0.1910225,0.185549957310907,56637.3,0.95,0.0953443,0.295607,NA,NA,NA,NA,NA,NA,NA
"theta[119]",0.3625280629982,0.362244,0.363970472487073,72724.6,0.95,0.3143,0.410757,NA,NA,NA,NA,NA,NA,NA
"theta[120]",0.372116651552813,0.3718555,0.371627351263182,70002,0.95,0.321875,0.42238,NA,NA,NA,NA,NA,NA,NA
"theta[121]",0.361396186508957,0.3611145,0.361855508664886,70002,0.95,0.309985,0.409682,NA,NA,NA,NA,NA,NA,NA
"theta[122]",0.376215776806377,0.375915,0.373565166611529,70002,0.95,0.313306,0.438405,NA,NA,NA,NA,NA,NA,NA
"theta[123]",0.354829561026828,0.353883,0.350477138289407,69193.1,0.95,0.287727,0.425648,NA,NA,NA,NA,NA,NA,NA
"theta[124]",0.363704561298249,0.363516,0.362064939088735,70002,0.95,0.324536,0.403587,NA,NA,NA,NA,NA,NA,NA
"theta[125]",0.365670057841205,0.3652095,0.362731231474115,70002,0.95,0.322751,0.409118,NA,NA,NA,NA,NA,NA,NA
"theta[126]",0.329876510156853,0.329877,0.332438860542892,66357.7,0.95,0.274648,0.384718,NA,NA,NA,NA,NA,NA,NA
"theta[127]",0.350381346047256,0.349383,0.346101737809596,70002,0.95,0.26353,0.437836,NA,NA,NA,NA,NA,NA,NA
"theta[128]",0.375044184223308,0.3748325,0.373422932025339,70002,0.95,0.337655,0.413693,NA,NA,NA,NA,NA,NA,NA
"theta[129]",0.352234045598697,0.3521465,0.352637045739883,70885.8,0.95,0.318042,0.38723,NA,NA,NA,NA,NA,NA,NA
"theta[130]",0.374468745792977,0.3738245,0.371814934864789,69194.2,0.95,0.330144,0.419233,NA,NA,NA,NA,NA,NA,NA
"theta[131]",0.429526546541527,0.429299,0.430540800072434,70002,0.95,0.389708,0.469208,NA,NA,NA,NA,NA,NA,NA
"theta[132]",0.346799847590069,0.346258,0.344829974445202,71207.5,0.95,0.296368,0.39753,NA,NA,NA,NA,NA,NA,NA
"theta[133]",0.363503507114082,0.363119,0.36241399674459,70899.2,0.95,0.323319,0.4039,NA,NA,NA,NA,NA,NA,NA
"theta[134]",0.349196973043627,0.349019,0.350998260859992,70002,0.95,0.306744,0.391528,NA,NA,NA,NA,NA,NA,NA
"theta[135]",0.357926398588612,0.357761,0.355054353081267,70002,0.95,0.314716,0.400758,NA,NA,NA,NA,NA,NA,NA
"theta[136]",0.349067281006257,0.3490295,0.345212012139281,70002,0.95,0.300947,0.398198,NA,NA,NA,NA,NA,NA,NA
"theta[137]",0.376786173423616,0.376625,0.37754390860021,70002,0.95,0.33883,0.414237,NA,NA,NA,NA,NA,NA,NA
"theta[138]",0.382145328776321,0.381826,0.381693941530714,70002,0.95,0.338674,0.424506,NA,NA,NA,NA,NA,NA,NA
"theta[139]",0.377040776863518,0.376762,0.375952144321534,70002,0.95,0.33767,0.416774,NA,NA,NA,NA,NA,NA,NA
"theta[140]",0.374244852947059,0.3736985,0.370127622545329,70002,0.95,0.328081,0.4227,NA,NA,NA,NA,NA,NA,NA
"theta[141]",0.32570115140996,0.325688,0.325990548076977,70002,0.95,0.280512,0.369747,NA,NA,NA,NA,NA,NA,NA
"theta[142]",0.305229496157253,0.305675,0.308644312684968,70002,0.95,0.253442,0.358896,NA,NA,NA,NA,NA,NA,NA
"theta[143]",0.253265644354447,0.249731,0.245655088113653,66787,0.95,0.125872,0.38737,NA,NA,NA,NA,NA,NA,NA
"theta[144]",0.344954111682523,0.3447665,0.346311290120217,70002,0.95,0.295708,0.393881,NA,NA,NA,NA,NA,NA,NA
"theta[145]",0.377832737950344,0.377157,0.373931163225021,70002,0.95,0.32684,0.432694,NA,NA,NA,NA,NA,NA,NA
"theta[146]",0.343135801262821,0.3429975,0.342718605625054,70002,0.95,0.298653,0.386476,NA,NA,NA,NA,NA,NA,NA
"theta[147]",0.343216414073884,0.343039,0.344376664491387,70002,0.95,0.285927,0.401619,NA,NA,NA,NA,NA,NA,NA
"theta[148]",0.370427531656238,0.370146,0.368594214981381,70002,0.95,0.329809,0.411691,NA,NA,NA,NA,NA,NA,NA
"theta[149]",0.360200881646239,0.359989,0.358037428506995,70002,0.95,0.314035,0.407221,NA,NA,NA,NA,NA,NA,NA
