PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Kevin Durant,OKC,SF,78,38.9,27.7,9.1,19.7,46.2,1.9,5.3,35.0,7.6,8.7,88.0,6.8,2.7,2.8,1.1,1.0,14,0,23.70
LeBron James,MIA,SF,79,38.8,26.7,9.6,18.8,51.0,1.2,3.5,33.0,6.4,8.4,75.9,7.5,7.0,3.6,1.6,0.6,31,4,27.34
Carmelo Anthony,DEN,PF,77,35.7,25.6,8.9,19.5,45.5,1.2,3.3,37.8,6.6,7.9,83.8,7.3,2.9,2.7,0.9,0.6,18,0,21.82
Dwyane Wade,MIA,G,76,37.1,25.5,9.1,18.2,50.0,0.8,2.7,30.6,6.5,8.6,75.8,6.4,4.6,3.1,1.5,1.1,10,1,25.65
Kobe Bryant,LAL,SF,82,33.9,25.3,9.0,20.0,45.1,1.4,4.3,32.3,5.9,7.1,82.8,5.1,4.7,3.0,1.2,0.1,9,1,23.94
Amar'e Stoudemire,NY,C,78,36.8,25.3,9.5,19.0,50.2,0.1,0.3,43.5,6.1,7.7,79.2,8.2,2.6,3.2,0.9,1.9,26,0,22.78
Derrick Rose,CHI,PG,81,37.4,25.0,8.8,19.7,44.5,1.6,4.8,33.2,5.9,6.9,85.8,4.1,7.7,3.4,1.0,0.6,23,1,23.62
Monta Ellis,GS,SG,80,40.3,24.1,9.1,20.1,45.1,1.7,4.7,36.1,4.3,5.4,78.9,3.5,5.6,3.2,2.1,0.3,10,0,18.69
Kevin Martin,HOU,SG,80,32.5,23.5,6.9,15.8,43.6,2.2,5.7,38.3,7.4,8.4,88.8,3.2,2.5,2.3,1.0,0.2,0,0,21.46
Dirk Nowitzki,DAL,F,73,34.3,23.0,8.4,16.2,51.7,0.9,2.3,39.3,5.4,6.1,89.2,7.0,2.6,1.9,0.5,0.6,16,0,23.52
Dwight Howard,ORL,C,78,37.6,22.9,7.9,13.4,59.3,0.0,0.1,0.0,7.0,11.7,59.6,14.1,1.4,3.6,1.4,2.4,66,0,26.13
Blake Griffin,LAC,PF,82,38.0,22.5,8.5,16.8,50.6,0.1,0.3,29.2,5.4,8.5,64.2,12.1,3.8,2.7,0.8,0.5,63,2,21.93
Russell Westbrook,OKC,PG,82,34.7,21.9,7.5,17.0,44.2,0.4,1.3,33.0,6.5,7.7,84.2,4.6,8.2,3.9,1.9,0.4,31,3,23.63
LaMarcus Aldridge,POR,C,81,39.6,21.8,8.7,17.5,50.0,0.0,0.3,17.4,4.3,5.5,79.1,8.8,2.1,1.9,1.0,1.2,36,0,21.57
Andrea Bargnani,TOR,C,66,35.7,21.4,8.0,17.8,44.8,1.2,3.4,34.5,4.3,5.3,82.0,5.2,1.8,2.3,0.5,0.7,2,0,16.50
Danny Granger,IND,SF,79,35.0,20.5,6.8,15.9,42.5,2.0,5.2,38.6,5.0,5.9,84.8,5.4,2.6,2.6,1.1,0.8,5,0,17.89
Brook Lopez,NJ,C,82,35.2,20.4,7.9,16.0,49.2,0.0,0.0,0.0,4.7,6.0,78.7,6.0,1.6,2.1,0.6,1.5,9,0,19.33
Kevin Love,MIN,PF,73,35.8,20.2,6.6,14.1,47.0,1.2,2.9,41.7,5.8,6.8,85.0,15.2,2.5,2.1,0.6,0.4,64,0,24.39
Zach Randolph,MEM,F,75,36.3,20.1,8.0,15.8,50.3,0.1,0.6,18.6,4.0,5.3,75.8,12.2,2.2,2.0,0.8,0.3,53,0,22.67
Michael Beasley,MIN,F,73,32.3,19.2,7.7,17.1,45.0,0.8,2.2,36.6,3.0,4.0,75.3,5.6,2.2,2.7,0.7,0.7,8,0,15.54
Paul Pierce,BOS,SF,80,34.7,18.9,6.3,12.8,49.7,1.4,3.7,37.4,4.8,5.6,86.0,5.4,3.3,2.1,1.0,0.6,7,1,19.76
David West,NO,F,70,35.0,18.9,7.5,14.9,50.8,0.0,0.1,22.2,3.8,4.7,80.7,7.6,2.3,2.0,1.0,0.9,16,0,20.51
Pau Gasol,LAL,C,82,37.0,18.8,7.2,13.7,52.9,0.0,0.0,33.3,4.3,5.2,82.3,10.2,3.3,1.7,0.6,1.6,43,1,23.33
Chris Bosh,MIA,PF,77,36.3,18.7,6.8,13.7,49.6,0.1,0.3,24.0,5.0,6.1,81.5,8.3,1.9,1.8,0.8,0.6,28,0,19.44
Al Jefferson,UTAH,C,82,35.9,18.6,8.0,16.1,49.6,0.0,0.0,0.0,2.7,3.5,76.1,9.7,1.8,1.3,0.6,1.9,37,0,20.20
Stephen Curry,GS,PG,74,33.6,18.6,6.8,14.2,48.0,2.0,4.6,44.2,2.9,3.1,93.4,3.9,5.8,3.1,1.5,0.3,5,0,19.46
Luis Scola,HOU,F,74,32.6,18.3,7.7,15.3,50.4,0.0,0.0,0.0,2.9,3.9,73.8,8.2,2.5,2.0,0.6,0.6,19,0,18.43
Joe Johnson,ATL,G,72,35.5,18.2,7.1,16.1,44.3,1.2,4.2,29.7,2.7,3.4,80.2,4.0,4.7,2.0,0.7,0.1,2,0,16.46
Tony Parker,SA,G,78,32.4,17.5,7.1,13.7,51.9,0.3,0.9,35.7,3.0,3.9,76.9,3.1,6.6,2.6,1.2,0.0,9,0,20.44
Luol Deng,CHI,F,82,39.1,17.4,6.5,14.1,46.0,1.4,4.1,34.5,3.1,4.1,75.3,5.8,2.8,1.9,1.0,0.6,8,0,15.58
Manu Ginobili,SA,G,80,30.3,17.4,5.5,12.7,43.3,1.9,5.5,34.9,4.5,5.1,87.1,3.7,4.9,2.2,1.5,0.4,0,0,21.78
Paul Millsap,UTAH,PF,76,34.3,17.3,6.9,13.0,53.1,0.1,0.3,39.1,3.4,4.4,75.7,7.6,2.5,1.9,1.4,0.9,19,0,19.83
DeMar DeRozan,TOR,SG,82,34.8,17.2,6.6,14.1,46.7,0.1,0.6,9.6,4.0,4.9,81.3,3.8,1.8,1.8,1.0,0.4,1,0,14.52
Chauncey Billups,DEN,PG,72,32.1,16.8,4.7,11.0,42.7,2.0,5.0,40.2,5.3,5.8,91.6,2.6,5.4,2.5,1.0,0.2,2,0,18.78
Josh Smith,ATL,PF,77,34.4,16.5,6.5,13.5,47.7,0.7,2.0,33.1,3.0,4.1,72.5,8.5,3.3,2.6,1.3,1.6,31,1,19.31
Ray Allen,BOS,SG,80,36.1,16.5,6.0,12.2,49.1,2.1,4.7,44.4,2.4,2.7,88.1,3.4,2.7,1.5,1.0,0.2,0,0,16.42
David Lee,GS,PF,73,36.1,16.5,6.8,13.4,50.7,0.0,0.0,33.3,2.9,3.7,78.7,9.8,3.2,2.3,1.0,0.4,37,0,17.86
Dorell Wright,GS,SF,82,38.4,16.4,5.9,14.0,42.3,2.4,6.3,37.6,2.2,2.8,78.9,5.3,3.0,1.6,1.5,0.8,7,0,15.07
Wesley Matthews,POR,SG,82,33.6,15.9,5.4,11.9,44.9,1.9,4.6,40.7,3.2,3.8,84.4,3.1,2.0,1.7,1.2,0.1,1,0,15.60
Chris Paul,NO,PG,80,36.0,15.9,5.4,11.6,46.3,0.9,2.3,38.8,4.2,4.8,87.8,4.1,9.8,2.2,2.4,0.1,32,0,23.76
Jason Terry,DAL,G,82,31.3,15.8,6.0,13.3,45.1,1.5,4.3,36.2,2.2,2.6,85.0,1.9,4.1,2.0,1.1,0.2,1,0,15.93
Gerald Wallace,CHA,SF,71,37.9,15.7,5.4,12.0,45.4,0.9,2.6,33.3,3.9,5.3,74.6,8.0,2.4,2.1,1.5,0.9,18,0,16.28
Jason Richardson,PHX,SG,80,33.9,15.6,5.9,13.2,44.7,2.4,6.0,39.5,1.5,2.0,73.0,4.1,1.8,1.2,1.2,0.2,1,0,15.02
Raymond Felton,NY,G,75,36.5,15.5,5.7,13.4,42.5,1.5,4.4,35.3,2.6,3.2,80.5,3.6,8.3,2.9,1.7,0.1,27,1,16.68
Rodney Stuckey,DET,PG,70,31.2,15.5,5.2,11.8,43.9,0.4,1.3,28.9,4.7,5.4,86.6,3.1,5.2,2.2,1.1,0.1,7,0,18.46
Al Horford,ATL,C,77,35.1,15.3,6.7,12.0,55.7,0.0,0.1,50.0,1.9,2.4,79.8,9.3,3.5,1.5,0.8,1.0,36,0,20.79
Wilson Chandler,NY,SF,72,33.3,15.3,6.0,13.2,45.0,1.6,4.4,35.0,1.8,2.2,80.7,5.7,1.7,1.4,0.7,1.3,6,0,14.68
Devin Harris,NJ,G,71,31.7,15.2,4.8,11.5,42.2,0.8,2.5,32.2,4.7,5.7,83.3,2.4,7.1,2.9,1.0,0.1,9,0,17.22
Elton Brand,PHI,PF,81,34.7,15.0,6.2,12.1,51.2,0.0,0.0,0.0,2.6,3.4,78.0,8.3,1.5,1.2,1.1,1.3,24,0,18.57
Kevin Garnett,BOS,PF,71,31.3,14.9,6.1,11.6,52.8,0.0,0.1,20.0,2.6,3.1,86.2,8.9,2.4,1.6,1.3,0.8,28,0,20.67
Steve Nash,PHX,PG,75,33.3,14.7,5.3,10.8,49.2,1.1,2.7,39.5,3.0,3.3,91.2,3.5,11.4,3.5,0.6,0.1,41,0,20.81
Nene,DEN,C,75,30.5,14.5,5.4,8.7,61.5,0.0,0.1,20.0,3.8,5.4,71.1,7.6,2.0,1.8,1.1,1.0,14,0,20.49
Lamar Odom,LAL,PF,82,32.2,14.4,5.8,10.9,53.0,0.8,2.2,38.2,2.0,3.0,67.5,8.7,3.0,1.7,0.6,0.7,28,0,19.50
D.J. Augustin,CHA,PG,82,33.6,14.4,4.9,11.7,41.6,1.4,4.1,33.3,3.3,3.6,90.6,2.7,6.1,1.9,0.7,0.0,7,0,15.97
