PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Russell Westbrook,OKC,PG,81,34.6,31.6,10.2,24.0,42.5,2.5,7.2,34.3,8.8,10.4,84.5,10.7,10.4,5.4,1.6,0.4,62,42,30.70
James Harden,HOU,SG,81,36.4,29.1,8.3,18.9,44.0,3.2,9.3,34.7,9.2,10.9,84.7,8.1,11.2,5.7,1.5,0.5,64,22,27.43
Isaiah Thomas,BOS,PG,76,33.8,28.9,9.0,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,2.7,5.9,2.8,0.9,0.2,5,0,26.59
Anthony Davis,NO,PF,75,36.1,28.0,10.3,20.3,50.5,0.5,1.8,29.9,6.9,8.6,80.2,11.8,2.1,2.4,1.3,2.2,49,0,27.59
DeMar DeRozan,TOR,SG,74,35.4,27.3,9.7,20.9,46.7,0.4,1.7,26.6,7.4,8.7,84.2,5.2,3.9,2.4,1.1,0.2,5,0,24.09
Damian Lillard,POR,PG,75,35.9,27.0,8.8,19.8,44.4,2.9,7.7,37.0,6.5,7.3,89.5,4.9,5.9,2.6,0.9,0.3,11,0,24.15
DeMarcus Cousins,SAC,C,72,34.2,27.0,9.0,19.9,45.2,1.8,5.0,36.1,7.2,9.3,77.2,11.0,4.6,3.7,1.4,1.3,46,2,25.84
LeBron James,CLE,SF,74,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,8.6,8.7,4.1,1.2,0.6,42,13,27.11
Kawhi Leonard,SA,SF,74,33.4,25.5,8.6,17.7,48.5,2.0,5.2,38.0,6.3,7.2,88.0,5.8,3.5,2.1,1.8,0.7,9,0,27.62
Stephen Curry,GS,PG,79,33.4,25.3,8.5,18.3,46.8,4.1,10.0,41.1,4.1,4.6,89.8,4.5,6.6,3.0,1.8,0.2,9,0,24.74
Kyrie Irving,CLE,PG,72,35.1,25.2,9.3,19.7,47.3,2.5,6.1,40.1,4.1,4.6,90.5,3.2,5.8,2.5,1.2,0.3,8,0,23.09
Karl-Anthony Towns,MIN,C,82,37.0,25.1,9.8,18.0,54.2,1.2,3.4,36.7,4.3,5.2,83.2,12.3,2.7,2.6,0.7,1.3,62,1,26.00
Kevin Durant,GS,SF,62,33.4,25.1,8.9,16.5,53.7,1.9,5.0,37.5,5.4,6.2,87.5,8.3,4.8,2.2,1.1,1.6,23,1,27.68
Jimmy Butler,CHI,SF,76,37.0,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,6.2,5.5,2.1,1.9,0.4,15,2,25.19
