PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Kevin Durant,OKC,SF,81,38.5,32.0,10.5,20.8,50.3,2.4,6.1,39.1,8.7,9.9,87.3,7.4,5.5,3.5,1.3,0.7,27,3,29.90
Carmelo Anthony,NY,PF,77,38.7,27.4,9.6,21.3,45.2,2.2,5.4,40.2,6.0,7.0,84.8,8.1,3.1,2.6,1.2,0.7,22,0,24.50
LeBron James,MIA,SF,77,37.7,27.1,10.0,17.6,56.7,1.5,4.0,37.9,5.7,7.6,75.0,6.9,6.4,3.5,1.6,0.3,12,1,29.40
Kevin Love,MIN,PF,77,36.3,26.1,8.4,18.5,45.7,2.5,6.6,37.6,6.8,8.2,82.1,12.5,4.4,2.5,0.8,0.5,65,3,26.97
James Harden,HOU,SG,73,38.0,25.4,7.5,16.5,45.6,2.4,6.6,36.6,7.9,9.1,86.6,4.7,6.1,3.6,1.6,0.4,14,1,23.51
Blake Griffin,LAC,PF,80,35.8,24.1,9.0,17.0,52.8,0.2,0.6,27.3,6.0,8.4,71.5,9.5,3.9,2.8,1.2,0.6,43,1,23.98
Stephen Curry,GS,PG,78,36.5,24.0,8.4,17.7,47.1,3.3,7.9,42.4,3.9,4.5,88.5,4.3,8.5,3.8,1.6,0.2,28,4,24.13
LaMarcus Aldridge,POR,C,69,36.2,23.2,9.4,20.6,45.8,0.0,0.2,20.0,4.3,5.2,82.2,11.1,2.6,1.8,0.9,1.0,40,0,21.84
DeMarcus Cousins,SAC,C,71,32.4,22.7,8.3,16.8,49.6,0.0,0.1,0.0,6.1,8.4,72.6,11.7,2.9,3.5,1.5,1.3,53,0,26.18
DeMar DeRozan,TOR,SG,79,38.2,22.7,7.6,17.8,42.9,0.8,2.7,30.5,6.6,8.0,82.4,4.3,4.0,2.2,1.1,0.4,2,0,18.42
Al Jefferson,CHA,C,73,35.0,21.8,9.6,18.8,50.9,0.0,0.2,20.0,2.6,3.8,69.0,10.8,2.1,1.7,0.9,1.1,42,0,22.75
Paul George,IND,SF,80,36.2,21.7,7.2,17.0,42.4,2.3,6.3,36.4,5.0,5.8,86.4,6.8,3.5,2.8,1.9,0.3,12,1,20.16
Dirk Nowitzki,DAL,F,80,32.9,21.7,7.9,15.9,49.7,1.6,4.1,39.8,4.2,4.7,89.9,6.2,2.7,1.5,0.9,0.6,6,0,23.68
Kyrie Irving,CLE,PG,71,35.2,20.8,7.5,17.4,43.0,1.7,4.8,35.8,4.1,4.8,86.1,3.6,6.1,2.7,1.5,0.3,7,1,20.14
Anthony Davis,NO,PF,67,35.2,20.8,7.8,15.0,51.9,0.0,0.1,22.2,5.2,6.6,79.1,10.0,1.6,1.6,1.3,2.8,36,0,26.54
Damian Lillard,POR,PG,82,35.8,20.7,6.7,15.9,42.4,2.7,6.8,39.4,4.5,5.2,87.1,3.5,5.6,2.4,0.8,0.3,6,0,18.69
Isaiah Thomas,SAC,PG,72,34.7,20.3,6.9,15.2,45.3,1.8,5.1,34.9,4.8,5.7,85.0,2.9,6.3,3.0,1.3,0.1,7,1,20.54
Goran Dragic,PHX,PG,76,35.1,20.3,7.3,14.4,50.5,1.6,3.9,40.8,4.2,5.5,76.0,3.2,5.9,2.8,1.4,0.3,7,0,21.43
Rudy Gay,SAC/TOR,SF,73,34.7,20.0,7.4,16.2,45.5,0.9,2.7,33.0,4.4,5.3,82.2,6.0,2.9,3.1,1.3,0.8,11,0,18.40
John Wall,WSH,PG,82,36.3,19.3,7.1,16.3,43.3,1.3,3.8,35.1,3.9,4.8,80.5,4.1,8.8,3.6,1.8,0.5,29,2,19.61
Chris Paul,LAC,PG,62,35.0,19.1,6.5,14.0,46.7,1.3,3.4,36.8,4.8,5.6,85.5,4.3,10.7,2.3,2.5,0.1,39,0,25.98
