PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Tracy McGrady,ORL,SG,67,39.9,28.0,9.7,23.4,41.7,2.6,7.7,33.9,5.9,7.5,79.6,6.0,5.5,2.7,1.4,0.6,12,0,25.28
Peja Stojakovic,SAC,SF,81,40.3,24.2,8.2,17.1,48.0,3.0,6.8,43.3,4.9,5.2,92.7,6.3,2.1,1.9,1.3,0.2,9,0,21.76
Kevin Garnett,MIN,PF,82,39.4,24.2,9.8,19.6,49.9,0.1,0.5,25.6,4.5,5.7,79.1,13.9,5.0,2.6,1.5,2.2,71,2,29.50
Kobe Bryant,LAL,SF,65,37.6,24.0,7.9,18.1,43.8,1.1,3.3,32.7,7.0,8.2,85.2,5.5,5.1,2.6,1.7,0.4,10,1,23.67
Paul Pierce,BOS,SF,80,38.7,23.0,7.5,18.7,40.2,1.4,4.8,29.9,6.5,7.9,81.9,6.5,5.1,3.8,1.6,0.7,19,1,19.37
Baron Davis,NO,PG,67,40.1,22.9,8.3,20.9,39.5,2.8,8.7,32.1,3.5,5.3,67.3,4.3,7.5,3.2,2.4,0.4,22,0,20.74
Vince Carter,TOR,SG,73,38.2,22.5,8.3,20.0,41.7,1.3,3.3,38.3,4.6,5.7,80.6,4.8,4.8,3.1,1.2,0.9,7,0,19.99
Tim Duncan,SA,C,69,36.6,22.3,8.6,17.1,50.1,0.0,0.2,16.7,5.1,8.5,59.9,12.4,3.1,2.7,0.9,2.7,56,0,27.14
Dirk Nowitzki,DAL,F,77,37.9,21.8,7.9,17.0,46.2,1.3,3.8,34.1,4.8,5.5,87.7,8.7,2.7,1.8,1.2,1.4,31,0,22.56
Michael Redd,MIL,SG,82,36.8,21.7,7.7,17.5,44.0,1.5,4.4,35.0,4.7,5.4,86.8,5.0,2.3,1.4,1.0,0.1,2,0,19.87
Shaquille O'Neal,LAL,C,67,36.8,21.5,8.3,14.1,58.4,0.0,0.0,0.0,4.9,10.1,49.0,11.5,2.9,2.9,0.5,2.5,43,0,24.48
Carmelo Anthony,DEN,PF,82,36.5,21.0,7.6,17.9,42.6,0.8,2.6,32.2,5.0,6.4,77.7,6.1,2.8,3.0,1.2,0.5,11,0,17.58
LeBron James,CLE,SF,79,39.5,20.9,7.9,18.9,41.7,0.8,2.7,29.0,4.4,5.8,75.4,5.5,5.9,3.5,1.6,0.7,12,0,18.30
Corey Maggette,LAC,SF,73,36.0,20.7,6.2,13.9,44.7,1.0,3.2,32.9,7.2,8.5,84.8,5.9,3.1,2.8,0.9,0.2,5,0,20.10
Stephon Marbury,PHX,PG,81,40.2,20.2,7.4,17.1,43.1,1.1,3.4,31.8,4.4,5.4,81.7,3.2,8.9,3.1,1.6,0.1,26,0,20.41
Jermaine O'Neal,IND,C,78,35.7,20.1,7.8,17.9,43.4,0.0,0.2,11.1,4.5,5.9,75.7,10.0,2.1,2.3,0.8,2.6,44,0,21.20
Zach Randolph,POR,F,81,37.9,20.1,8.2,16.9,48.5,0.0,0.1,20.0,3.7,4.9,76.1,10.5,2.0,3.0,0.8,0.5,43,0,19.63
Sam Cassell,MIN,PG,81,35.0,19.8,7.7,15.7,48.8,0.9,2.3,39.8,3.6,4.1,87.3,3.3,7.3,2.7,1.3,0.2,18,1,22.84
Shawn Marion,PHX,SG,79,40.7,19.0,7.5,17.0,44.0,1.1,3.4,34.0,2.9,3.4,85.1,9.3,2.7,2.0,2.1,1.3,35,0,19.96
