PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Kobe Bryant,LAL,SF,80,41.0,35.4,12.2,27.2,45.0,2.3,6.5,34.7,8.7,10.2,85.0,5.3,4.5,3.1,1.8,0.4,4,0,28.11
Allen Iverson,PHI,SG,72,43.1,33.0,11.3,25.3,44.7,1.0,3.1,32.3,9.4,11.5,81.4,3.2,7.4,3.4,1.9,0.1,18,0,26.02
LeBron James,CLE,SF,79,42.5,31.4,11.1,23.1,48.0,1.6,4.8,33.5,7.6,10.3,73.8,7.0,6.6,3.3,1.6,0.8,21,5,28.17
Gilbert Arenas,WSH,PG,80,42.3,29.3,9.3,20.9,44.7,2.5,6.8,36.9,8.2,10.0,82.0,3.5,6.1,3.7,2.0,0.3,9,0,23.87
Dwyane Wade,MIA,G,75,38.6,27.2,9.3,18.8,49.5,0.2,1.0,17.1,8.4,10.7,78.3,5.7,6.7,3.6,1.9,0.8,16,2,27.68
Paul Pierce,BOS,SF,79,39.0,26.8,8.7,18.5,47.1,1.4,4.0,35.4,7.9,10.3,77.2,6.7,4.7,3.5,1.4,0.4,17,1,23.71
Dirk Nowitzki,DAL,F,81,38.1,26.6,9.3,19.3,48.0,1.4,3.3,40.6,6.7,7.4,90.1,9.0,2.8,1.9,0.7,1.0,35,0,28.20
Carmelo Anthony,DEN,PF,80,36.8,26.5,9.5,19.7,48.1,0.5,1.9,24.3,7.2,8.9,80.8,4.9,2.7,2.7,1.1,0.5,6,0,22.10
Michael Redd,MIL,SG,80,39.1,25.4,8.5,19.0,45.0,2.0,5.2,39.5,6.3,7.1,87.7,4.3,2.9,2.1,1.2,0.1,0,0,21.34
Ray Allen,SEA,SG,78,38.7,25.1,8.7,19.2,45.4,3.4,8.4,41.2,4.2,4.6,90.3,4.3,3.7,2.4,1.3,0.2,1,0,22.28
Elton Brand,LAC,PF,79,39.2,24.7,9.6,18.2,52.7,0.0,0.0,33.3,5.6,7.2,77.5,10.0,2.6,2.2,1.0,2.5,45,0,26.67
Vince Carter,NJ,SG,79,36.8,24.2,8.3,19.2,43.0,1.6,4.6,34.1,6.1,7.6,79.9,5.8,4.3,2.7,1.2,0.7,8,1,21.68
Jason Richardson,GS,SG,75,38.4,23.2,8.5,19.2,44.6,2.4,6.4,38.4,3.7,5.5,67.3,5.8,3.1,2.2,1.3,0.5,5,0,19.28
Chris Bosh,TOR,PF,70,39.3,22.5,7.8,15.5,50.5,0.0,0.2,0.0,6.8,8.3,81.6,9.2,2.6,2.2,0.7,1.1,32,0,23.23
Shawn Marion,PHX,SG,81,40.3,21.8,8.8,16.9,52.5,1.2,3.6,33.1,3.0,3.7,80.9,11.8,1.8,1.5,2.0,1.7,60,0,23.66
Kevin Garnett,MIN,PF,76,38.9,21.8,8.2,15.7,52.6,0.1,0.4,26.7,5.2,6.4,81.0,12.7,4.1,2.4,1.4,1.4,62,0,26.88
Mike Bibby,SAC,PG,82,38.6,21.1,7.3,16.9,43.2,2.3,6.1,38.6,4.2,4.9,84.9,2.9,5.4,2.4,1.0,0.1,8,0,17.93
Antawn Jamison,WSH,PF,82,40.1,20.5,8.0,18.2,44.2,1.8,4.5,39.4,2.6,3.6,73.1,9.3,1.9,1.7,1.1,0.1,35,0,17.78
Pau Gasol,MEM,C,80,39.2,20.4,7.5,14.9,50.3,0.0,0.2,25.0,5.3,7.7,68.9,8.9,4.6,2.9,0.6,1.9,33,1,22.76
Mike James,TOR,PG,79,37.0,20.3,7.3,15.5,46.9,2.1,4.8,44.2,3.6,4.3,83.7,3.3,5.8,2.6,0.9,0.0,11,0,19.88
Chris Webber,PHI,C,75,38.6,20.2,8.2,19.0,43.4,0.3,1.0,27.3,3.5,4.6,75.6,9.9,3.4,2.4,1.4,0.8,38,0,18.47
Joe Johnson,ATL,G,82,40.7,20.2,7.7,17.0,45.3,1.6,4.4,35.6,3.2,4.0,79.1,4.1,6.5,3.3,1.3,0.4,13,1,17.95
Richard Hamilton,DET,SG,80,35.3,20.1,8.1,16.5,49.1,0.7,1.5,45.8,3.2,3.8,84.5,3.2,3.4,2.2,0.7,0.2,0,0,18.25
Rashard Lewis,SEA,PF,78,36.9,20.1,6.9,14.8,46.7,1.8,4.7,38.4,4.5,5.5,81.8,5.0,2.3,1.8,1.3,0.6,5,0,20.04
Richard Jefferson,NJ,F,78,39.2,19.5,6.3,12.9,49.3,0.8,2.4,31.9,6.0,7.4,81.2,6.8,3.8,2.2,0.8,0.2,20,0,19.02
Ricky Davis,BOS,SG,78,41.1,19.4,7.5,16.7,44.8,0.9,3.1,30.2,3.5,4.4,79.7,4.5,5.1,2.7,1.2,0.2,3,0,15.64
Wally Szczerbiak,MIN,SG,72,37.9,19.0,6.8,14.1,48.7,1.4,3.5,40.0,3.9,4.3,89.7,4.3,3.0,1.9,0.6,0.3,2,0,17.75
Tony Parker,SA,G,80,33.9,18.9,7.8,14.2,54.8,0.1,0.5,30.6,3.2,4.5,70.7,3.3,5.8,3.1,1.0,0.1,8,0,20.89
Steve Nash,PHX,PG,79,35.4,18.8,6.8,13.4,51.2,1.9,4.3,43.9,3.3,3.5,92.1,4.2,10.5,3.5,0.8,0.2,43,1,23.29
Al Harrington,ATL,PF,76,36.6,18.6,7.3,16.1,45.2,0.9,2.5,34.6,3.2,4.6,69.4,6.9,3.1,2.6,1.1,0.2,15,0,16.08
Tim Duncan,SA,C,80,34.8,18.6,7.2,14.8,48.4,0.0,0.1,40.0,4.2,6.7,62.9,11.0,3.2,2.5,0.9,2.0,52,0,23.13
Chauncey Billups,DET,PG,81,36.1,18.5,5.2,12.5,41.8,2.3,5.2,43.3,5.7,6.4,89.4,3.1,8.6,2.1,0.9,0.1,27,0,23.43
Peja Stojakovic,SAC,SF,71,36.6,18.2,6.3,14.3,43.7,2.3,5.7,40.1,3.4,3.7,91.5,5.8,1.9,1.5,0.6,0.1,5,0,16.71
Zach Randolph,POR,F,74,34.4,18.0,7.2,16.6,43.6,0.2,0.7,29.1,3.3,4.6,71.4,8.0,1.9,2.2,0.8,0.2,21,0,16.94
Mehmet Okur,UTAH,C,82,35.9,18.0,6.3,13.8,46.0,1.0,2.9,34.2,4.3,5.5,78.0,9.1,2.4,2.0,0.5,0.9,35,0,19.08
Caron Butler,WSH,SF,75,36.1,17.6,6.6,14.5,45.5,0.5,1.6,34.2,3.9,4.4,87.0,6.2,2.5,2.3,1.7,0.2,10,0,17.11
Sam Cassell,LAC,PG,78,34.0,17.2,6.3,14.3,44.3,0.9,2.4,36.8,3.7,4.3,86.3,3.7,6.3,2.2,0.9,0.1,12,0,18.56
Jason Terry,DAL,G,80,35.0,17.1,6.5,13.7,47.0,2.1,5.2,41.1,2.1,2.6,80.0,2.0,3.8,1.7,1.3,0.3,2,0,18.49
David West,NO,F,74,34.1,17.1,7.2,14.0,51.2,0.0,0.1,27.3,2.7,3.2,84.3,7.4,1.2,1.4,0.8,0.9,17,0,19.74
Ben Gordon,CHI,SG,80,31.0,16.9,6.1,14.4,42.2,2.1,4.8,43.5,2.6,3.4,78.7,2.7,3.0,2.3,0.9,0.1,0,0,14.59
Morris Peterson,TOR,SG,82,38.3,16.8,5.8,13.4,43.6,2.2,5.5,39.5,2.9,3.6,82.0,4.6,2.3,1.5,1.3,0.2,3,0,15.34
Stephen Jackson,IND,SF,81,35.9,16.4,5.8,14.2,41.1,1.4,4.2,34.5,3.3,4.2,78.6,3.9,2.8,2.5,1.3,0.5,0,0,13.65
Chris Paul,NO,PG,78,36.0,16.1,5.2,12.1,43.0,0.6,2.3,28.2,5.1,6.0,84.7,5.1,7.8,2.3,2.2,0.1,21,2,22.14
Kirk Hinrich,CHI,SG,81,36.5,15.9,5.6,13.3,41.8,1.6,4.2,37.0,3.2,3.9,81.5,3.6,6.3,2.3,1.2,0.3,11,0,15.56
Dwight Howard,ORL,C,82,36.8,15.8,5.7,10.7,53.1,0.0,0.0,0.0,4.3,7.3,59.5,12.5,1.5,2.6,0.8,1.4,60,0,19.37
Zydrunas Ilgauskas,CLE,C,78,29.3,15.6,5.8,11.4,50.6,0.0,0.1,0.0,4.1,4.9,83.4,7.6,1.2,2.0,0.5,1.7,18,0,21.98
Rasheed Wallace,DET,PF,80,34.8,15.1,5.7,13.3,43.0,1.9,5.4,35.7,1.7,2.3,74.3,6.8,2.3,1.1,1.0,1.6,12,0,17.70
Brad Miller,SAC,C,79,37.0,15.0,5.5,11.1,49.5,0.4,1.1,38.6,3.5,4.3,82.8,7.8,4.7,2.3,0.8,0.8,29,0,17.52
Hedo Turkoglu,ORL,SF,78,33.5,14.9,5.1,11.2,45.4,1.5,3.6,40.3,3.3,3.8,86.1,4.3,2.8,1.7,0.9,0.3,1,0,16.80
Lamar Odom,LAL,PF,80,40.3,14.8,5.6,11.6,48.1,1.0,2.7,37.2,2.7,3.9,69.0,9.2,5.5,2.7,0.9,0.8,29,2,17.02
Cuttino Mobley,LAC,SG,79,37.7,14.8,5.4,12.8,42.6,1.1,3.1,33.9,2.9,3.5,83.9,4.3,3.0,1.8,1.2,0.5,3,0,13.13
Raja Bell,PHX,SG,79,37.5,14.7,5.4,11.8,45.7,2.5,5.6,44.2,1.5,1.8,78.8,3.2,2.6,1.1,1.0,0.3,1,0,12.94
Steve Francis,ORL,PG,70,34.2,14.4,4.8,10.9,43.5,0.4,1.2,30.1,4.5,5.7,78.7,4.1,4.9,3.1,1.1,0.2,2,1,15.29
Jamal Crawford,NY,G,79,32.3,14.3,4.6,11.1,41.6,1.3,3.7,34.5,3.7,4.5,82.6,3.1,3.8,2.2,1.1,0.2,3,0,15.54
Luol Deng,CHI,F,78,33.4,14.3,5.7,12.2,46.3,0.3,1.0,26.9,2.7,3.5,75.0,6.6,1.9,1.3,0.9,0.6,11,0,15.86
Tayshaun Prince,DET,SF,82,35.3,14.1,5.5,12.2,45.5,0.8,2.2,35.0,2.2,2.9,76.5,4.2,2.3,1.1,0.8,0.5,3,0,14.87
Troy Murphy,GS,PF,74,34.0,14.0,4.9,11.3,43.3,0.8,2.4,32.0,3.4,4.3,78.7,10.0,1.4,1.5,0.6,0.4,34,0,15.93
Andre Miller,DEN,PG,82,35.8,13.7,4.9,10.6,46.3,0.1,0.3,18.5,3.8,5.2,73.8,4.3,8.2,3.1,1.3,0.2,20,0,16.40
Mike Miller,MEM,SG,74,30.6,13.7,4.8,10.3,46.6,1.9,4.6,40.7,2.3,2.8,80.0,5.4,2.7,1.9,0.7,0.4,6,1,17.30
Eddy Curry,NY,NA,72,25.9,13.6,4.7,8.3,56.3,0.0,0.0,0.0,4.3,6.8,63.2,6.0,0.3,2.5,0.4,0.8,10,0,17.06
Nenad Krstic,NJ,C,80,30.9,13.5,5.6,11.0,50.7,0.0,0.1,25.0,2.3,3.3,69.8,6.4,1.1,1.7,0.4,0.8,12,0,14.49
Bobby Simmons,MIL,SF,75,33.8,13.4,4.9,10.8,45.3,1.4,3.3,42.0,2.2,2.7,82.5,4.4,2.3,1.6,1.1,0.3,4,0,13.87
Boris Diaw,PHX,C,81,35.5,13.3,5.5,10.5,52.6,0.1,0.4,26.7,2.1,2.9,73.1,6.9,6.2,2.3,0.7,1.0,18,4,17.31
Jason Kidd,NJ,PG,80,37.2,13.3,4.6,11.3,40.4,1.7,4.9,35.2,2.4,3.1,79.5,7.3,8.4,2.4,1.9,0.4,28,8,19.20
Derek Fisher,GS,PG,82,31.6,13.3,4.4,10.8,41.0,1.4,3.6,39.7,3.0,3.6,83.3,2.6,4.3,1.9,1.5,0.1,5,0,14.87
Charlie Villanueva,TOR,PF,81,29.1,13.0,5.4,11.6,46.3,0.9,2.6,32.7,1.4,2.0,70.6,6.4,1.1,1.2,0.7,0.8,12,0,16.45
Andres Nocioni,CHI,SF,82,27.3,13.0,4.7,10.1,46.1,1.1,2.9,39.1,2.5,3.0,84.3,6.1,1.4,1.5,0.5,0.6,13,0,16.12
Matt Harpring,UTAH,SF,71,27.4,12.5,4.5,9.5,47.5,0.2,0.5,35.9,3.2,4.4,72.5,5.2,1.4,1.5,0.8,0.2,4,0,16.31
Primoz Brezec,CHA,C,79,27.4,12.4,5.2,10.0,51.7,0.0,0.0,0.0,2.1,2.8,73.2,5.6,0.6,1.1,0.2,0.4,7,0,15.29
Shareef Abdur-Rahim,SAC,PF,72,27.2,12.3,4.6,8.8,52.5,0.1,0.3,22.7,3.0,3.9,78.4,5.0,2.1,1.5,0.7,0.6,3,0,17.31
Jalen Rose,TOR,SG,72,27.5,12.3,4.0,9.5,42.3,0.8,2.4,34.3,3.4,4.4,78.0,2.9,2.5,1.6,0.4,0.2,1,0,13.95
Juan Dixon,POR,SG,76,25.3,12.3,4.7,10.8,43.5,0.9,2.2,38.2,2.1,2.6,80.4,2.3,2.0,1.5,0.8,0.1,0,0,14.59
Andre Iguodala,PHI,SG,82,37.6,12.3,4.2,8.4,50.0,0.7,1.9,35.4,3.2,4.3,75.4,5.9,3.1,1.9,1.6,0.3,7,0,14.86
Speedy Claxton,NO,PG,71,28.4,12.3,4.3,10.4,41.3,0.2,0.9,27.0,3.5,4.5,76.9,2.7,4.8,2.2,1.5,0.1,4,0,16.20
Antoine Walker,MIA,PF,82,26.8,12.2,4.8,11.0,43.5,1.7,4.7,35.8,1.0,1.6,62.8,5.1,2.0,1.8,0.6,0.4,4,0,14.47
T.J. Ford,MIL,PG,72,35.5,12.2,4.6,11.0,41.6,0.5,1.4,33.7,2.6,3.4,75.4,4.3,6.6,3.0,1.4,0.1,10,0,13.16
Ruben Patterson,POR,PF,71,25.2,12.1,4.6,8.9,51.5,0.0,0.2,7.7,2.9,4.8,60.1,3.4,1.8,2.1,1.1,0.3,0,0,16.40
Chris Kaman,LAC,C,78,32.8,11.9,4.7,9.1,52.3,0.0,0.0,0.0,2.5,3.2,77.0,9.6,1.0,2.3,0.6,1.4,29,0,15.01
Raymond Felton,CHA,G,80,30.1,11.9,4.3,11.0,39.1,1.2,3.4,35.8,2.0,2.8,72.5,3.3,5.6,2.3,1.3,0.1,13,0,14.30
Eddie Jones,MEM,SG,75,32.5,11.8,3.9,9.6,40.4,1.8,5.0,35.6,2.2,2.9,78.1,3.7,2.4,1.2,1.7,0.4,1,0,14.71
Juwan Howard,HOU,PF,80,31.7,11.8,4.9,10.7,45.9,0.0,0.1,0.0,1.9,2.4,80.6,6.7,1.4,1.7,0.6,0.1,10,0,12.52
Delonte West,BOS,SG,71,34.1,11.8,4.7,9.6,48.7,1.2,3.1,38.5,1.2,1.4,85.1,4.1,4.6,1.9,1.2,0.6,2,0,15.11
Zaza Pachulia,ATL,C,78,31.4,11.7,3.9,8.7,45.1,0.0,0.0,0.0,3.8,5.2,73.5,7.9,1.7,2.3,1.1,0.5,21,0,15.03
Luke Ridnour,SEA,PG,79,33.2,11.5,4.2,10.1,41.8,0.5,1.9,28.9,2.5,2.9,87.7,3.0,7.0,2.1,1.6,0.3,12,0,16.04
Mike Dunleavy,GS,SG,81,31.8,11.5,4.1,10.1,40.6,0.9,3.2,28.5,2.4,3.1,77.8,4.9,2.9,1.5,0.7,0.4,3,0,12.51
Smush Parker,LAL,PG,82,33.8,11.5,4.2,9.5,44.7,1.5,4.0,36.6,1.5,2.2,69.4,3.3,3.7,1.8,1.7,0.2,2,0,13.39
Kyle Korver,PHI,SG,82,31.3,11.5,4.0,9.3,43.0,2.2,5.3,42.0,1.2,1.5,84.9,3.3,2.0,1.2,0.8,0.3,1,0,12.30
Bobby Jackson,MEM,PG,71,25.0,11.4,4.0,10.5,38.2,1.8,4.7,38.9,1.5,2.1,73.3,3.1,2.7,1.4,0.9,0.0,0,0,14.64
