PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Kobe Bryant,LAL,SF,77,40.8,31.6,10.6,22.8,46.3,1.8,5.2,34.4,8.7,10.0,86.8,5.7,5.4,3.3,1.4,0.5,10,0,26.13
Carmelo Anthony,DEN,PF,65,38.2,28.9,10.6,22.4,47.6,0.6,2.3,26.8,7.1,8.7,80.8,6.0,3.8,3.6,1.2,0.4,4,1,22.20
Gilbert Arenas,WSH,PG,74,39.8,28.4,8.7,20.9,41.8,2.8,7.9,35.1,8.2,9.7,84.4,4.6,6.0,3.2,1.9,0.2,10,0,24.07
LeBron James,CLE,SF,78,40.9,27.3,9.9,20.8,47.6,1.3,4.0,31.9,6.3,9.0,69.8,6.7,6.0,3.2,1.6,0.7,16,1,24.56
Michael Redd,MIL,SG,53,38.4,26.7,9.0,19.3,46.5,2.2,5.8,38.2,6.5,7.8,82.9,3.7,2.3,2.3,1.2,0.2,0,0,22.30
Ray Allen,SEA,SG,55,40.3,26.4,9.2,21.0,43.8,3.0,8.1,37.2,5.1,5.6,90.3,4.5,4.1,2.8,1.5,0.2,4,0,21.70
Allen Iverson,DEN/PHI,SG,65,42.5,26.3,8.9,20.2,44.3,1.0,3.0,31.5,7.5,9.4,79.5,3.0,7.2,4.1,1.9,0.2,17,0,19.61
Vince Carter,NJ,SG,82,38.1,25.2,8.9,19.5,45.4,1.9,5.3,35.7,5.6,7.0,80.2,6.0,4.8,2.6,1.0,0.4,13,2,21.86
Joe Johnson,ATL,G,57,41.4,25.0,9.4,20.0,47.1,2.1,5.5,38.1,4.1,5.5,74.8,4.2,4.4,3.1,1.1,0.2,2,0,19.56
Tracy McGrady,HOU,SG,71,35.8,24.6,9.0,20.8,43.1,1.8,5.4,33.1,4.9,6.9,70.7,5.3,6.5,3.0,1.3,0.5,15,0,23.28
Dirk Nowitzki,DAL,F,78,36.2,24.6,8.6,17.2,50.2,0.9,2.2,41.6,6.4,7.1,90.4,8.9,3.4,2.1,0.7,0.8,41,0,27.70
Zach Randolph,POR,F,68,35.7,23.6,8.8,18.9,46.7,0.2,0.7,29.2,5.8,7.1,81.9,10.1,2.2,3.2,0.8,0.2,36,0,22.81
Chris Bosh,TOR,PF,69,38.5,22.6,7.9,15.9,49.6,0.2,0.5,34.3,6.7,8.6,78.5,10.7,2.5,2.6,0.6,1.3,42,0,22.72
Kevin Garnett,MIN,PF,76,39.4,22.4,8.4,17.6,47.6,0.2,0.7,21.4,5.5,6.6,83.5,12.8,4.1,2.7,1.2,1.7,66,3,24.20
Ben Gordon,CHI,SG,82,33.0,21.4,7.4,16.3,45.5,1.9,4.6,41.3,4.6,5.4,86.4,3.1,3.6,3.0,0.8,0.2,0,0,18.31
Carlos Boozer,UTAH,PF,74,34.6,20.9,8.7,15.6,56.1,0.0,0.0,0.0,3.4,5.0,68.5,11.7,3.0,2.6,0.9,0.3,53,0,24.11
Elton Brand,LAC,PF,80,38.5,20.5,8.1,15.1,53.3,0.0,0.0,100.0,4.4,5.8,76.1,9.3,2.9,2.5,1.0,2.2,38,0,23.17
Amar'e Stoudemire,PHX,C,82,32.8,20.4,7.4,12.9,57.5,0.0,0.0,0.0,5.6,7.1,78.1,9.6,1.0,2.8,1.0,1.3,46,0,23.15
Kevin Martin,SAC,SG,80,35.2,20.2,6.3,13.3,47.3,1.6,4.2,38.1,6.0,7.1,84.4,4.3,2.2,1.7,1.2,0.1,2,0,20.12
Tim Duncan,SA,C,80,34.1,20.0,7.7,14.1,54.6,0.0,0.1,11.1,4.5,7.1,63.7,10.6,3.4,2.8,0.8,2.4,45,0,26.20
Antawn Jamison,WSH,PF,70,38.0,19.8,7.3,16.3,45.0,2.0,5.4,36.4,3.2,4.4,73.6,8.0,1.9,1.5,1.1,0.5,22,0,18.50
Richard Hamilton,DET,SG,75,36.8,19.8,7.3,15.6,46.8,0.6,1.7,34.1,4.6,5.4,86.1,3.8,3.8,2.1,0.8,0.2,2,0,18.21
Eddy Curry,NY,NA,81,35.2,19.5,7.2,12.5,57.6,0.0,0.0,100.0,5.0,8.1,61.5,7.0,0.8,3.6,0.4,0.5,18,0,17.07
Josh Howard,DAL,SF,70,35.1,18.9,7.0,15.4,45.9,1.3,3.4,38.5,3.5,4.2,82.7,6.8,1.8,1.8,1.2,0.8,13,0,20.02
Metta World Peace,SAC,SF,70,37.7,18.8,6.5,14.9,44.0,1.3,3.7,35.8,4.4,5.9,74.0,6.5,3.4,2.1,2.1,0.6,11,0,18.59
Luol Deng,CHI,F,82,37.5,18.8,7.7,14.9,51.7,0.0,0.1,14.3,3.4,4.4,77.7,7.1,2.5,1.9,1.2,0.6,17,0,18.79
Steve Nash,PHX,PG,76,35.3,18.6,6.8,12.8,53.2,2.1,4.5,45.5,2.9,3.3,89.9,3.5,11.6,3.8,0.8,0.1,53,0,23.87
Tony Parker,SA,G,77,32.5,18.6,7.4,14.2,52.0,0.2,0.5,39.5,3.6,4.5,78.3,3.2,5.5,2.5,1.1,0.1,5,0,21.46
Mike Miller,MEM,SG,70,39.1,18.5,6.6,14.4,46.0,2.9,7.1,40.6,2.3,2.9,79.3,5.4,4.3,2.6,0.8,0.3,6,0,16.50
Andre Iguodala,PHI,SG,76,40.3,18.2,5.8,13.0,44.7,0.6,2.0,31.0,5.9,7.3,82.0,5.7,5.7,3.4,2.0,0.4,7,3,18.18
Gerald Wallace,CHA,SF,72,36.7,18.1,6.6,13.2,50.2,0.5,1.7,32.5,4.3,6.2,69.1,7.2,2.6,2.2,2.0,1.0,16,0,19.83
Leandro Barbosa,PHX,G,80,32.7,18.1,6.6,13.9,47.6,2.4,5.5,43.4,2.5,2.9,84.5,2.7,4.0,1.8,1.2,0.2,5,0,18.49
