PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
James Harden,HOU,SG,72,35.4,30.4,9.0,20.1,44.9,3.7,10.0,36.7,8.7,10.1,85.8,5.4,8.8,4.4,1.8,0.7,31,4,29.87
Anthony Davis,NO,PF,75,36.4,28.1,10.4,19.5,53.4,0.7,2.2,34.0,6.6,8.0,82.8,11.1,2.3,2.2,1.5,2.6,50,1,28.98
LeBron James,CLE,SF,82,36.9,27.5,10.5,19.3,54.2,1.8,5.0,36.7,4.7,6.5,73.1,8.6,9.1,4.2,1.4,0.9,52,18,28.65
Damian Lillard,POR,PG,73,36.6,26.9,8.5,19.4,43.9,3.1,8.6,36.1,6.8,7.4,91.6,4.5,6.6,2.8,1.1,0.4,11,0,25.19
Giannis Antetokounmpo,MIL,PF,75,36.7,26.9,9.9,18.7,52.9,0.6,1.9,30.7,6.5,8.5,76.0,10.0,4.8,3.0,1.5,1.4,42,1,27.37
Kevin Durant,GS,SF,68,34.2,26.4,9.3,18.0,51.6,2.5,6.1,41.9,5.3,5.9,88.9,6.8,5.4,3.0,0.7,1.8,15,2,26.05
Russell Westbrook,OKC,PG,80,36.4,25.4,9.5,21.1,44.9,1.2,4.1,29.8,5.2,7.1,73.7,10.1,10.3,4.8,1.8,0.3,59,25,24.80
Kyrie Irving,BOS,PG,60,32.2,24.4,8.9,18.1,49.1,2.8,6.8,40.8,3.9,4.4,88.9,3.8,5.1,2.3,1.1,0.3,1,0,25.03
LaMarcus Aldridge,SA,C,75,33.5,23.1,9.2,18.0,51.0,0.4,1.2,29.3,4.5,5.3,83.7,8.5,2.0,1.5,0.6,1.2,27,0,25.12
Victor Oladipo,IND,SG,75,34.0,23.1,8.5,17.9,47.7,2.1,5.8,37.1,3.9,4.9,79.9,5.2,4.3,2.9,2.4,0.8,3,0,23.12
DeMar DeRozan,TOR,SG,80,33.9,23.0,8.1,17.7,45.6,1.1,3.6,31.0,5.8,7.0,82.5,3.9,5.2,2.2,1.1,0.3,0,0,21.10
Joel Embiid,PHI,C,63,30.3,22.9,8.1,16.8,48.3,1.0,3.4,30.8,5.7,7.4,76.9,11.0,3.2,3.7,0.6,1.8,38,0,22.95
Bradley Beal,WSH,SG,82,36.3,22.6,8.3,18.1,46.0,2.4,6.5,37.5,3.6,4.5,79.1,4.4,4.5,2.6,1.2,0.4,4,0,18.51
Lou Williams,LAC,SG,79,32.8,22.6,7.4,16.9,43.5,2.4,6.6,35.9,5.5,6.2,88.0,2.5,5.3,3.0,1.1,0.2,7,0,20.29
Jimmy Butler,MIN,SF,59,36.7,22.2,7.4,15.6,47.4,1.2,3.4,35.0,6.2,7.2,85.4,5.3,4.9,1.8,2.0,0.4,3,0,23.70
Kemba Walker,CHA,PG,80,34.2,22.1,7.4,17.0,43.1,2.9,7.5,38.4,4.5,5.3,86.4,3.1,5.6,2.2,1.1,0.3,3,0,20.62
Paul George,OKC,SF,79,36.6,21.9,7.3,17.0,43.0,3.1,7.7,40.1,4.3,5.2,82.2,5.7,3.3,2.7,2.0,0.5,4,0,18.71
Blake Griffin,LAC,PF,58,34.0,21.4,7.5,17.2,43.8,1.9,5.6,34.5,4.5,5.7,78.5,7.4,5.8,2.8,0.7,0.3,16,3,19.65
CJ McCollum,POR,SG,81,36.1,21.4,8.2,18.6,44.3,2.3,5.9,39.7,2.6,3.1,83.6,4.0,3.4,1.9,1.0,0.4,1,0,17.00
Karl-Anthony Towns,MIN,C,82,35.6,21.3,7.8,14.3,54.5,1.5,3.5,42.1,4.2,4.9,85.8,12.3,2.4,1.9,0.8,1.4,68,0,24.99
Donovan Mitchell,UTAH,SG,79,33.4,20.5,7.5,17.2,43.7,2.4,7.0,34.0,3.0,3.8,80.5,3.7,3.7,2.7,1.5,0.3,0,0,16.74
Khris Middleton,MIL,SF,82,36.4,20.1,7.2,15.5,46.6,1.8,5.0,35.9,3.9,4.4,88.4,5.2,4.0,2.3,1.5,0.3,5,1,17.45
Klay Thompson,GS,SG,73,34.3,20.0,7.9,16.1,48.8,3.1,7.1,44.0,1.1,1.3,83.7,3.8,2.5,1.8,0.8,0.5,2,0,16.15
T.J. Warren,PHX,SF,65,33.0,19.6,8.1,16.4,49.8,0.3,1.4,22.2,3.0,3.9,75.7,5.1,1.3,1.3,1.0,0.6,6,0,17.71
Dennis Schroder,ATL,PG,67,31.0,19.4,7.5,17.1,43.6,1.1,3.9,29.0,3.4,4.0,84.9,3.1,6.2,2.7,1.1,0.1,5,0,17.41
Jrue Holiday,NO,SG,81,36.1,19.0,7.6,15.4,49.4,1.5,4.4,33.7,2.3,2.9,78.6,4.5,6.0,2.6,1.5,0.8,8,1,17.87
Harrison Barnes,DAL,SF,77,34.2,18.9,7.0,15.7,44.5,1.5,4.3,35.7,3.4,4.1,82.7,6.1,2.0,1.5,0.6,0.2,8,0,15.89
Chris Paul,HOU,PG,58,31.8,18.6,6.3,13.8,46.0,2.5,6.5,38.0,3.5,3.8,91.9,5.4,7.9,2.2,1.7,0.2,14,1,24.39
Tobias Harris,DET,SF,80,33.4,18.6,7.0,15.3,46.0,2.3,5.6,41.1,2.2,2.7,82.9,5.5,2.4,1.3,0.9,0.4,3,0,17.20
Nikola Jokic,DEN,C,75,32.5,18.5,6.7,13.5,49.9,1.5,3.7,39.6,3.5,4.2,85.0,10.7,6.1,2.8,1.2,0.8,38,10,24.52
Eric Gordon,HOU,SG,69,31.2,18.0,6.0,14.1,42.8,3.2,8.8,35.9,2.8,3.5,80.9,2.5,2.2,1.9,0.6,0.4,0,0,15.22
Eric Bledsoe,MIL/PHX,PG,74,31.4,17.7,6.3,13.4,47.3,1.7,4.9,34.7,3.4,4.3,79.5,3.8,5.0,2.9,2.0,0.6,3,1,19.79
Andrew Wiggins,MIN,SF,82,36.3,17.7,6.9,15.9,43.8,1.4,4.1,33.1,2.5,3.8,64.3,4.4,2.0,1.7,1.1,0.6,1,0,13.10
Aaron Gordon,ORL,PF,58,32.9,17.6,6.5,14.9,43.4,2.0,5.9,33.6,2.7,3.9,69.8,7.9,2.3,1.8,1.0,0.8,17,0,16.51
Kevin Love,CLE,PF,59,28.0,17.6,5.7,12.4,45.8,2.3,5.6,41.5,4.0,4.5,88.0,9.3,1.7,1.5,0.7,0.4,31,0,22.44
Gary Harris,DEN,SG,67,34.4,17.5,6.6,13.6,48.5,2.3,5.9,39.6,2.0,2.4,82.7,2.6,2.9,1.8,1.8,0.2,0,0,16.60
Goran Dragic,MIA,PG,75,31.7,17.3,6.5,14.3,45.0,1.5,4.0,37.0,2.9,3.6,80.1,4.1,4.8,2.2,0.8,0.2,3,0,16.64
Marc Gasol,MEM,C,73,33.0,17.2,5.9,14.2,42.0,1.5,4.4,34.1,3.8,4.6,83.4,8.1,4.2,2.7,0.7,1.4,25,1,17.42
JJ Redick,PHI,SG,70,30.2,17.1,5.8,12.6,46.0,2.8,6.6,42.0,2.8,3.1,90.4,2.5,3.0,1.5,0.5,0.1,0,0,15.92
Jamal Murray,DEN,PG,81,31.7,16.7,5.9,13.1,45.1,2.0,5.4,37.8,2.8,3.1,90.5,3.7,3.4,2.1,1.0,0.3,1,0,16.17
Dwight Howard,CHA,C,81,30.4,16.6,6.2,11.2,55.5,0.0,0.1,14.3,4.1,7.2,57.4,12.5,1.3,2.6,0.6,1.6,53,0,20.56
Kyle Lowry,TOR,PG,78,32.2,16.2,5.2,12.1,42.7,3.1,7.6,39.9,2.9,3.3,85.4,5.6,6.9,2.3,1.1,0.2,23,3,19.53
Carmelo Anthony,OKC,PF,78,32.1,16.2,6.1,15.0,40.4,2.2,6.1,35.7,1.9,2.5,76.7,5.8,1.3,1.3,0.6,0.6,6,0,12.78
Julius Randle,LAL,PF,82,26.7,16.1,6.1,11.0,55.8,0.1,0.5,22.2,3.7,5.2,71.8,8.0,2.6,2.6,0.5,0.5,28,1,19.96
