PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Kevin Durant,OKC,SF,82,39.5,30.1,9.7,20.3,47.6,1.6,4.3,36.5,9.2,10.2,90.0,7.6,2.8,3.3,1.4,1.0,25,0,26.23
LeBron James,CLE,SF,76,39.0,29.7,10.1,20.1,50.3,1.7,5.1,33.3,7.8,10.2,76.7,7.3,8.6,3.4,1.6,1.0,31,4,31.19
Carmelo Anthony,DEN,PF,69,38.2,28.2,10.0,21.8,45.8,0.9,2.7,31.6,7.4,8.9,83.0,6.6,3.2,3.0,1.3,0.4,10,0,22.29
Kobe Bryant,LAL,SF,73,38.8,27.0,9.8,21.5,45.6,1.4,4.1,32.9,6.0,7.4,81.1,5.4,5.0,3.2,1.5,0.3,7,0,21.95
Dwyane Wade,MIA,G,77,36.3,26.6,9.3,19.6,47.6,0.9,3.2,30.0,6.9,9.1,76.1,4.8,6.5,3.3,1.8,1.1,17,0,28.10
Monta Ellis,GS,SG,64,41.4,25.5,9.9,22.0,44.9,1.2,3.6,33.8,4.6,6.1,75.3,4.0,5.3,3.8,2.2,0.4,6,0,16.74
Dirk Nowitzki,DAL,F,81,37.5,25.0,8.9,18.5,48.1,0.6,1.5,42.1,6.6,7.2,91.5,7.7,2.7,1.8,0.9,1.0,19,1,23.01
Danny Granger,IND,SF,62,36.7,24.1,7.9,18.4,42.8,2.5,7.1,36.1,5.9,6.9,84.8,5.5,2.8,2.5,1.5,0.8,3,0,19.85
Chris Bosh,TOR,PF,70,36.1,24.0,8.6,16.5,51.8,0.1,0.3,36.4,6.7,8.4,79.7,10.8,2.4,2.4,0.6,1.0,49,0,25.11
Amar'e Stoudemire,PHX,C,82,34.6,23.1,8.6,15.4,55.7,0.0,0.1,16.7,5.9,7.7,77.1,8.9,1.0,2.6,0.6,1.0,31,0,22.69
Joe Johnson,ATL,G,76,38.0,21.3,8.4,18.2,45.8,1.7,4.6,36.9,2.9,3.5,81.8,4.6,4.9,1.9,1.1,0.1,4,0,19.33
Derrick Rose,CHI,PG,78,36.8,20.8,8.6,17.6,48.9,0.2,0.8,26.7,3.3,4.3,76.6,3.8,6.0,2.8,0.7,0.3,6,0,18.69
Zach Randolph,MEM,F,81,37.7,20.8,8.0,16.5,48.8,0.2,0.6,28.8,4.5,5.7,77.8,11.7,1.8,2.1,1.0,0.4,57,0,21.21
Stephen Jackson,GS/CHA,SF,81,38.6,20.6,7.4,17.5,42.3,1.6,4.9,32.8,4.2,5.4,77.9,5.0,3.7,3.2,1.6,0.5,3,0,15.69
David Lee,NY,PF,81,37.3,20.2,8.5,15.5,54.5,0.0,0.1,0.0,3.3,4.1,81.2,11.7,3.6,2.3,1.0,0.5,53,1,22.28
Tyreke Evans,SAC,G,72,37.2,20.1,7.4,16.2,45.8,0.5,2.0,25.5,4.8,6.5,74.8,5.3,5.8,3.0,1.5,0.4,13,1,18.28
Corey Maggette,GS,SF,70,29.7,19.8,6.5,12.7,51.6,0.2,0.7,26.0,6.6,7.9,83.5,5.3,2.5,2.4,0.7,0.1,5,0,20.40
Rudy Gay,MEM,SF,80,39.7,19.6,7.5,16.1,46.6,0.8,2.5,32.7,3.8,5.0,75.3,5.9,1.9,2.1,1.5,0.8,8,0,16.30
Aaron Brooks,HOU,G,82,35.6,19.6,7.0,16.2,43.2,2.5,6.4,39.8,3.0,3.6,82.2,2.6,5.3,2.8,0.8,0.2,6,0,16.04
Chauncey Billups,DEN,PG,73,34.1,19.5,5.5,13.2,41.8,2.2,5.6,38.6,6.4,7.0,91.0,3.1,5.6,2.4,1.1,0.1,4,0,20.25
Carlos Boozer,UTAH,PF,78,34.3,19.5,7.9,14.1,56.2,0.0,0.0,0.0,3.7,4.9,74.2,11.2,3.2,2.7,1.1,0.5,55,0,21.42
David West,NO,F,81,36.4,19.0,7.6,15.1,50.5,0.1,0.3,25.9,3.7,4.2,86.6,7.5,3.0,2.1,0.9,0.7,21,0,18.99
Brook Lopez,NJ,C,82,36.9,18.8,6.9,13.8,49.9,0.0,0.0,0.0,5.1,6.2,81.7,8.6,2.3,2.5,0.7,1.7,33,0,20.11
Deron Williams,UTAH,PG,76,36.9,18.7,6.5,13.9,46.9,1.3,3.4,37.1,4.4,5.5,80.1,4.0,10.5,3.3,1.3,0.2,44,0,20.62
Chris Kaman,LAC,C,76,34.3,18.5,7.8,15.8,49.0,0.0,0.1,0.0,3.0,4.0,74.9,9.3,1.6,2.9,0.5,1.2,33,0,16.59
Dwight Howard,ORL,C,82,34.7,18.3,6.2,10.2,61.2,0.0,0.1,0.0,5.9,10.0,59.2,13.2,1.8,3.3,0.9,2.8,64,0,24.07
Paul Pierce,BOS,SF,71,34.0,18.3,5.8,12.2,47.2,1.5,3.7,41.4,5.2,6.1,85.2,4.4,3.1,2.3,1.2,0.4,1,0,18.24
Gerald Wallace,CHA,SF,76,41.0,18.2,6.0,12.4,48.4,0.7,1.8,37.1,5.6,7.2,77.6,10.0,2.1,2.3,1.5,1.1,33,0,18.39
Jamal Crawford,ATL,G,79,31.1,18.0,6.3,14.0,44.9,2.1,5.4,38.2,3.4,4.0,85.7,2.5,3.0,1.7,0.8,0.2,0,0,18.50
Tim Duncan,SA,C,78,31.3,17.9,7.2,13.9,51.8,0.0,0.1,18.2,3.5,4.8,72.5,10.1,3.2,1.8,0.6,1.5,38,0,24.79
LaMarcus Aldridge,POR,C,78,37.5,17.9,7.4,15.0,49.5,0.1,0.2,31.3,2.9,3.9,75.7,8.0,2.1,1.3,0.9,0.6,24,0,18.30
Al Harrington,NY,PF,72,30.5,17.7,6.2,14.3,43.5,1.9,5.7,34.2,3.3,4.4,75.7,5.6,1.5,1.8,0.9,0.4,6,0,16.82
Luol Deng,CHI,F,70,37.9,17.6,6.8,14.5,46.6,0.5,1.2,38.6,3.6,4.7,76.4,7.3,2.0,1.9,0.9,0.9,13,0,16.14
Stephen Curry,GS,PG,80,36.2,17.5,6.6,14.3,46.2,2.1,4.8,43.7,2.2,2.5,88.5,4.5,5.9,3.1,1.9,0.2,12,1,16.31
O.J. Mayo,MEM,SG,82,38.0,17.5,6.6,14.4,45.8,1.7,4.3,38.3,2.6,3.2,80.9,3.8,3.0,2.1,1.2,0.2,0,0,14.61
Andrea Bargnani,TOR,C,80,35.0,17.2,6.7,14.3,47.0,1.5,4.1,37.2,2.3,2.9,77.3,6.2,1.2,1.5,0.3,1.4,10,0,15.60
Al Jefferson,MIN,C,76,32.4,17.1,7.4,14.8,49.8,0.0,0.1,0.0,2.4,3.5,68.0,9.3,1.8,1.8,0.8,1.3,35,0,19.03
Andre Iguodala,PHI,SG,82,38.9,17.1,6.0,13.7,44.3,1.1,3.7,31.0,3.8,5.2,73.3,6.5,5.8,2.7,1.7,0.7,11,0,17.82
Carl Landry,HOU,PF,80,30.9,16.8,6.2,11.6,53.6,0.0,0.0,33.3,4.3,5.3,80.6,5.9,0.8,1.7,0.7,0.8,7,0,19.02
Rodney Stuckey,DET,PG,73,34.2,16.6,6.2,15.2,40.5,0.2,1.1,22.8,4.1,4.9,83.3,3.8,4.8,2.2,1.4,0.2,5,0,15.62
Jason Terry,DAL,G,77,33.0,16.6,5.9,13.5,43.8,1.8,4.8,36.5,3.0,3.5,86.6,1.8,3.8,1.4,1.2,0.2,1,0,16.58
